Category	Term	loglift	logprob	Relevance	year
topico01	withdraw	4.4755	-6.0128	-1.81748	2003
topico01	relationship	2.38	-4.0367	-1.47002	2003
topico01	spend	3.8029	-5.5591	-1.8143	2003
topico01	role	1.7209	-4.9118	-2.25872	2003
topico01	traditional_gender_role	4.0594	-5.8471	-1.8845	2003
topico01	behavior	1.5239	-5.4053	-2.63362	2003
topico01	share	2.0856	-5.5592	-2.50128	2003
topico01	support	1.1006	-5.5426	-2.88532	2003
topico01	power	1.7244	-5.6093	-2.67582	2003
topico01	household	1.8841	-5.6548	-2.63924	2003
topico02	pain	4.58	-3.3941	-0.20446	2003
topico02	journal	4.573	-3.8513	-0.48158	2003
topico02	wealth	4.5029	-4.7003	-1.01902	2003
topico02	inheritance	4.4945	-5.3793	-1.42978	2003
topico02	fat	4.4937	-4.9312	-1.16124	2003
topico02	reflexivity	4.4716	-5.5631	-1.54922	2003
topico02	evolutionary	4.4643	-4.9559	-1.18782	2003
topico02	prostate_cancer	4.4642	-6.0279	-1.83106	2003
topico02	fatness	4.4601	-6.1071	-1.88022	2003
topico02	special_issue	4.4584	-5.1344	-1.29728	2003
topico02	biology	4.4548	-4.8278	-1.11476	2003
topico02	ga?nero	4.4438	-5.0419	-1.24762	2003
topico02	feminista	4.4426	-5.8833	-1.75294	2003
topico02	das	4.4395	-5.4804	-1.51244	2003
topico02	article	4.4393	-2.901	0.03512	2003
topico02	brazil	4.4259	-5.951	-1.80024	2003
topico02	brazilian	4.4088	-4.475	-0.92148	2003
topico02	experimenter	4.4053	-6.4045	-2.08058	2003
topico02	a?es	4.404	-6.0324	-1.85784	2003
topico02	feminismo	4.4038	-6.3672	-2.0588	2003
topico02	gender_studie	4.4013	-4.6493	-1.02906	2003
topico02	feminization	4.3942	-4.7711	-1.10498	2003
topico02	editorial	4.3887	-5.6384	-1.62756	2003
topico02	accounts_gender	4.3824	-6.3954	-2.08428	2003
topico02	emotion_dysregulation	4.3758	-6.6473	-2.23806	2003
topico02	peer_review	4.374	-6.4905	-2.1447	2003
topico02	cortical	4.3713	-6.5913	-2.20626	2003
topico02	quot	4.3691	-6.683	-2.26216	2003
topico02	mixed_race	4.3613	-6.6335	-2.23558	2003
topico02	inquire	4.3572	-6.2577	-2.01174	2003
topico02	biological	4.3343	-4.3594	-0.88192	2003
topico02	brasil	4.3526	-5.9883	-1.85194	2003
topico02	publication	4.3386	-5.5345	-1.58526	2003
topico02	citation	4.3394	-5.6289	-1.64158	2003
topico02	publish	4.2034	-4.1584	-0.81368	2003
topico02	life_expectancy	4.3393	-6.0094	-1.86992	2003
topico02	tolerate	4.3289	-6.0124	-1.87588	2003
topico02	nutrition	4.266	-5.6208	-1.66608	2003
topico02	editor	4.2129	-5.3688	-1.53612	2003
topico02	authorship	4.2982	-5.8977	-1.81934	2003
topico02	studies_gender	4.1703	-5.4673	-1.61226	2003
topico02	social_science	4.1545	-5.4215	-1.5911	2003
topico02	field	3.3078	-4.0169	-1.08702	2003
topico02	methodological	3.652	-5.1109	-1.60574	2003
topico02	research	2.9623	-4.5646	-1.55384	2003
topico02	paper	3.1497	-4.8649	-1.65906	2003
topico02	review	2.9068	-4.7291	-1.67474	2003
topico02	author	2.761	-4.7067	-1.71962	2003
topico02	contribution	2.7473	-4.8852	-1.8322	2003
topico02	year	1.7251	-5.3202	-2.50208	2003
topico02	analyze	1.6561	-5.3311	-2.53622	2003
topico02	perspective	1.5494	-5.3733	-2.60422	2003
topico02	consider	1.2215	-5.3694	-2.73304	2003
topico02	present	1.4784	-5.4296	-2.6664	2003
topico02	theory	1.8461	-5.4573	-2.53594	2003
topico03	cancer	4.7882	-4.3512	-0.69544	2003
topico03	social_status	4.7881	-4.8713	-1.00754	2003
topico03	couple_therapy	4.7848	-5.1404	-1.17032	2003
topico03	sex_partner	4.7683	-5.3515	-1.30358	2003
topico03	cancer_patient	4.7262	-5.8492	-1.61904	2003
topico03	crowd	4.7228	-5.8617	-1.6279	2003
topico03	sexual_intercourse	4.7193	-5.5461	-1.43994	2003
topico03	hong_kong	4.7173	-4.2778	-0.67976	2003
topico03	organ	4.716	-5.5757	-1.45902	2003
topico03	intercourse	4.7149	-4.7437	-0.96026	2003
topico03	suicidal_behavior	4.7099	-5.6581	-1.5109	2003
topico03	beta	4.7063	-6.0263	-1.73326	2003
topico03	alpha	4.696	-5.7275	-1.5581	2003
topico03	hiv_status	4.6916	-5.9612	-1.70008	2003
topico03	ptsd_symptom	4.6842	-5.5807	-1.47474	2003
topico03	gender_typicality	4.6791	-6.1507	-1.81878	2003
topico03	risky_sexual	4.6775	-5.8381	-1.63186	2003
topico03	gender_typ	4.6754	-5.5157	-1.43926	2003
topico03	positive_emotion	4.6707	-6.0605	-1.76802	2003
topico03	debut	4.6681	-6.1953	-1.84994	2003
topico03	pre_service	4.6665	-6.1835	-1.8435	2003
topico03	mst	4.6638	-6.146	-1.82208	2003
topico03	women_differ	4.6621	-5.5974	-1.4936	2003
topico03	typicality	4.6545	-5.8361	-1.63986	2003
topico03	dotless	4.6515	-6.2344	-1.88004	2003
topico03	hopelessness	4.6474	-6.0994	-1.80068	2003
topico03	cad	4.6405	-6.3467	-1.95182	2003
topico03	theories_gender	4.6374	-5.5548	-1.47792	2003
topico03	face_to_face_interview	4.6241	-5.9884	-1.7434	2003
topico03	gender_typical	4.6225	-6.0226	-1.76456	2003
topico03	absolute	4.5996	-5.0286	-1.17732	2003
topico03	women_woman	4.5945	-5.0557	-1.19562	2003
topico03	recurrent	4.6167	-5.7656	-1.61268	2003
topico03	women_likely	4.6062	-5.5962	-1.51524	2003
topico03	perceived_gender	4.5978	-5.4678	-1.44156	2003
topico03	masculine_gender	4.5774	-5.2945	-1.34574	2003
topico03	associations_gender	4.5941	-5.6036	-1.52452	2003
topico03	association	4.1044	-3.2536	-0.3104	2003
topico03	optimal	4.498	-5.297	-1.379	2003
topico03	association_gender	4.5217	-5.4794	-1.47896	2003
topico03	delay	4.2688	-4.8964	-1.23032	2003
topico03	unknown	4.3582	-5.1473	-1.3451	2003
topico03	gender_attitude	4.4243	-5.3731	-1.45414	2003
topico03	testing	3.988	-4.9281	-1.36166	2003
topico03	compared_woman	4.3685	-5.5033	-1.55458	2003
topico03	men_woman	2.6776	-3.9676	-1.30952	2003
topico03	sexual_partner	4.4329	-5.6024	-1.58828	2003
topico03	status	2.9343	-4.3771	-1.45254	2003
topico03	associate	2.5475	-4.7357	-1.82242	2003
topico03	women_man	2.6031	-5.0619	-1.9959	2003
topico03	behavior	1.995	-4.9342	-2.16252	2003
topico03	gender_difference	1.0413	-5.1634	-2.68152	2003
topico03	model	1.1518	-5.4271	-2.79554	2003
topico03	activity	1.417	-5.5457	-2.76062	2003
topico04	military	4.7308	-3.5643	-0.24626	2003
topico04	china	4.7222	-3.5687	-0.25234	2003
topico04	bangladesh	4.7206	-4.5561	-0.84542	2003
topico04	india	4.7064	-3.3555	-0.13074	2003
topico04	chinese	4.7035	-3.5909	-0.27314	2003
topico04	soldier	4.6958	-4.8084	-1.00672	2003
topico04	loan	4.6938	-5.16	-1.21848	2003
topico04	trade	4.6885	-3.9507	-0.49502	2003
topico04	army	4.6807	-5.2165	-1.25762	2003
topico04	microfinance	4.6801	-5.4817	-1.41698	2003
topico04	conservation	4.6751	-5.1742	-1.23448	2003
topico04	chinese_woman	4.6735	-5.4378	-1.39328	2003
topico04	coastal	4.6688	-5.5599	-1.46842	2003
topico04	theatre	4.6668	-5.0639	-1.17162	2003
topico04	hostility	4.6625	-4.534	-0.8554	2003
topico04	jordan	4.6615	-5.5159	-1.44494	2003
topico04	flexibility	4.6572	-4.381	-0.76572	2003
topico04	spectacle	4.6317	-5.7316	-1.58628	2003
topico04	plant	4.6241	-5.1208	-1.22284	2003
topico04	urbanization	4.6162	-5.6151	-1.52258	2003
topico04	wild	4.6132	-6.0799	-1.80266	2003
topico04	military_service	4.6113	-5.9329	-1.71522	2003
topico04	caste	4.5999	-5.4122	-1.40736	2003
topico04	republic	4.5964	-5.2295	-1.29914	2003
topico04	domestic_labor	4.5916	-5.9935	-1.75946	2003
topico04	borrower	4.5914	-6.1193	-1.83502	2003
topico04	interracial	4.5897	-5.9058	-1.7076	2003
topico04	eldercare	4.5886	-6.2437	-1.91078	2003
topico04	shanghai	4.5875	-5.8414	-1.66984	2003
topico04	meritocracy	4.5858	-6.1368	-1.84776	2003
topico04	labor_force_participation	4.583	-5.8075	-1.6513	2003
topico04	feminisation	4.5735	-5.7338	-1.61088	2003
topico04	stage	4.4092	-3.7184	-0.46736	2003
topico04	adaptation	4.4088	-4.2764	-0.80232	2003
topico04	economic_growth	4.5017	-5.2959	-1.37686	2003
topico04	import	4.5404	-5.697	-1.60204	2003
topico04	forest	4.374	-5.369	-1.4718	2003
topico04	tree	4.3483	-5.7504	-1.71092	2003
topico04	society	2.1064	-5.0113	-2.16422	2003
topico04	role	1.4154	-5.2174	-2.56428	2003
topico04	western	2.7146	-5.4854	-2.2054	2003
topico04	west	3.4656	-5.6406	-1.99812	2003
topico04	patriarchal	3.0115	-5.6561	-2.18906	2003
topico04	examine	0.7806	-5.6138	-3.05604	2003
topico05	migration	4.5489	-3.3263	-0.17622	2003
topico05	migrant	4.5484	-3.5874	-0.33308	2003
topico05	mobility	4.5252	-4.0368	-0.612	2003
topico05	migrant_woman	4.5197	-4.8672	-1.11244	2003
topico05	border	4.4889	-4.3428	-0.81012	2003
topico05	globalisation	4.482	-4.9912	-1.20192	2003
topico05	remittance	4.481	-5.5625	-1.5451	2003
topico05	transnational	4.4755	-4.0239	-0.62414	2003
topico05	migrate	4.4726	-5.4683	-1.49194	2003
topico05	europe	4.4684	-4.1894	-0.72628	2003
topico05	international_migration	4.4592	-5.8279	-1.71306	2003
topico05	settlement	4.4549	-4.8971	-1.1563	2003
topico05	filipino	4.4517	-5.7096	-1.64508	2003
topico05	migratory	4.4454	-5.9685	-1.80294	2003
topico05	arrival	4.4363	-5.7224	-1.65892	2003
topico05	migrant_worker	4.4297	-5.7937	-1.70434	2003
topico05	gender_migration	4.4292	-6.1121	-1.89558	2003
topico05	kinsey	4.4283	-6.1299	-1.90662	2003
topico05	nordic	4.4263	-5.8979	-1.76822	2003
topico05	kin	4.4242	-5.6211	-1.60298	2003
topico05	economic_crisis	4.4199	-5.7757	-1.69746	2003
topico05	settle	4.4194	-5.8941	-1.7687	2003
topico05	guatemala	4.4088	-6.2242	-1.971	2003
topico05	deaf	4.4054	-6.2148	-1.96672	2003
topico05	female_migrant	4.4018	-6.3176	-2.02984	2003
topico05	european	4.3997	-4.0526	-0.67168	2003
topico05	peruvian	4.3918	-6.3881	-2.07614	2003
topico05	flow	4.3909	-4.8939	-1.17998	2003
topico05	resettlement	4.3815	-6.417	-2.0976	2003
topico05	homeland	4.3718	-6.3111	-2.03794	2003
topico05	northern	4.3699	-4.8161	-1.1417	2003
topico05	native	4.3478	-4.9197	-1.2127	2003
topico05	permanent	4.3521	-5.3585	-1.47426	2003
topico05	money	4.2515	-4.6252	-1.07452	2003
topico05	peru	4.3472	-5.7567	-1.71514	2003
topico05	temporary	4.2518	-5.2577	-1.4539	2003
topico05	travel	4.0346	-4.6346	-1.16692	2003
topico05	residence	4.1559	-5.5493	-1.66722	2003
topico05	economic	3.4276	-4.4299	-1.2869	2003
topico05	economy	3.4427	-4.6279	-1.39966	2003
topico05	east	4.2119	-5.6812	-1.72396	2003
topico05	origin	3.3734	-5.0857	-1.70206	2003
topico05	country	2.3576	-4.7362	-1.89868	2003
topico05	return	3.1553	-5.1904	-1.85212	2003
topico05	live	1.8054	-5.292	-2.45304	2003
topico05	international	2.3986	-5.5388	-2.36384	2003
topico05	relation	1.1618	-5.5721	-2.87854	2003
topico05	new	1.5549	-5.5887	-2.73126	2003
topico06	nationalism	4.0623	-4.8503	-1.28526	2003
topico06	citizenship	4.0568	-4.1517	-0.8683	2003
topico06	nationalist	4.0437	-5.3038	-1.5648	2003
topico06	colonial	4.0325	-4.5337	-1.10722	2003
topico06	nation	4.0274	-3.8657	-0.70846	2003
topico06	france	4.013	-4.6228	-1.16848	2003
topico06	colonialism	4.0092	-5.685	-1.80732	2003
topico06	empire	4.0029	-5.5856	-1.7502	2003
topico06	emancipation	3.9957	-5.5356	-1.72308	2003
topico06	british	3.9824	-4.4062	-1.05076	2003
topico06	postcolonial	3.9797	-5.4556	-1.68148	2003
topico06	historiography	3.9773	-6.0661	-2.04874	2003
topico06	diaspora	3.9747	-5.6785	-1.81722	2003
topico06	imperial	3.9676	-5.5549	-1.7459	2003
topico06	imperialism	3.9595	-6.5825	-2.3657	2003
topico06	grassroot	3.9553	-6.4641	-2.29634	2003
topico06	radical	3.9541	-4.8282	-1.31528	2003
topico06	diasporic	3.9502	-5.8831	-1.94978	2003
topico06	servant	3.9403	-6.4057	-2.2673	2003
topico06	welsh	3.9383	-6.7416	-2.46964	2003
topico06	archive	3.9358	-5.5759	-1.77122	2003
topico06	slave	3.9171	-5.9339	-1.9935	2003
topico06	french	3.9145	-4.4137	-1.08242	2003
topico06	canadian	3.9072	-4.5806	-1.18548	2003
topico06	political_action	3.9072	-6.6329	-2.41686	2003
topico06	alliance	3.8996	-5.2891	-1.61362	2003
topico06	archival	3.8988	-6.5037	-2.3427	2003
topico06	gender_nation	3.8954	-7.0115	-2.64874	2003
topico06	domesticity	3.8897	-5.8159	-1.93366	2003
topico06	curious	3.885	-6.8706	-2.56836	2003
topico06	struggle	3.8797	-3.978	-0.83492	2003
topico06	politic	3.8713	-3.6523	-0.64286	2003
topico06	citizen	3.8719	-4.6249	-1.22618	2003
topico06	nation_state	3.8712	-6.0022	-2.05284	2003
topico06	elite	3.8002	-5.1142	-1.54844	2003
topico06	liberation	3.8503	-5.8499	-1.96982	2003
topico06	contest	3.6931	-4.7987	-1.40198	2003
topico06	modernity	3.7509	-5.1859	-1.61118	2003
topico06	egypt	3.8391	-5.8854	-1.9956	2003
topico06	canada	3.5797	-5.0038	-1.5704	2003
topico06	revolution	3.7174	-5.64	-1.89704	2003
topico06	morality	3.701	-5.69	-1.9336	2003
topico06	national	2.8224	-4.7959	-1.74858	2003
topico06	debate	2.7263	-4.7498	-1.75936	2003
topico06	political	2.4958	-5.0059	-2.00522	2003
topico06	state	1.8485	-4.947	-2.2288	2003
topico06	home	2.2903	-5.377	-2.31008	2003
topico06	history	1.8546	-5.3999	-2.4981	2003
topico06	argue	1.4208	-5.4786	-2.71884	2003
topico07	college	4.8463	-3.4605	-0.13778	2003
topico07	like	4.8383	-4.6035	-0.82678	2003
topico07	feedback	4.8143	-4.318	-0.66508	2003
topico07	bisexual_woman	4.8065	-5.1749	-1.18234	2003
topico07	sdo	4.8029	-5.3804	-1.30708	2003
topico07	ed	4.7912	-5.1881	-1.19638	2003
topico07	attraction	4.7786	-4.7094	-0.9142	2003
topico07	collegiate	4.7509	-5.7025	-1.52114	2003
topico07	ip	4.7469	-5.9056	-1.6446	2003
topico07	language_learn	4.7138	-5.799	-1.59388	2003
topico07	bisexual_women	4.7087	-6.0344	-1.73716	2003
topico07	strategy	4.7031	-2.1575	0.58674	2003
topico07	playful	4.6994	-6.0957	-1.77766	2003
topico07	state_university	4.6863	-5.9811	-1.71414	2003
topico07	family_formation	4.6846	-6.0974	-1.7846	2003
topico07	oxford	4.6837	-6.2074	-1.85096	2003
topico07	free_time	4.6808	-5.7455	-1.57498	2003
topico07	learning_strategie	4.6781	-6.0315	-1.74766	2003
topico07	attentional	4.6708	-5.5826	-1.48124	2003
topico07	strategy_use	4.6706	-6.3264	-1.9276	2003
topico07	motivational	4.6698	-5.0334	-1.15212	2003
topico07	doubt	4.6636	-5.4635	-1.41266	2003
topico07	peoplea	4.6627	-5.8735	-1.65902	2003
topico07	study_examin	4.648	-5.8029	-1.62254	2003
topico07	participantsa	4.646	-5.8197	-1.63342	2003
topico07	intergroup	4.6448	-5.6417	-1.5271	2003
topico07	phone	4.6409	-5.9487	-1.71286	2003
topico07	need_consider	4.6381	-5.789	-1.61816	2003
topico07	rater	4.6365	-5.4032	-1.38732	2003
topico07	housework	4.635	-4.6832	-0.95592	2003
topico07	affiliation	4.6261	-4.5141	-0.85802	2003
topico07	stimulation	4.6175	-5.3615	-1.3699	2003
topico07	dominance	4.4872	-3.9463	-0.5729	2003
topico07	feminine_gender	4.628	-5.7494	-1.59844	2003
topico07	responsiveness	4.561	-5.3839	-1.40594	2003
topico07	learner	4.3409	-4.5573	-0.99802	2003
topico07	constructive	4.5816	-5.6348	-1.54824	2003
topico07	cry	4.5894	-5.8252	-1.65936	2003
topico07	topico	3.4184	-4.3727	-1.25626	2003
topico07	familiarity	4.3559	-5.5421	-1.5829	2003
topico07	participant	2.246	-4.7577	-1.95622	2003
topico07	dyad	3.5257	-5.3455	-1.79702	2003
topico07	stability	3.6501	-5.4272	-1.79628	2003
topico07	relationship	1.4691	-4.9476	-2.38092	2003
topico07	interact	2.7766	-5.5267	-2.20538	2003
topico07	activity	1.5745	-5.3883	-2.60318	2003
topico07	gender_difference	0.6871	-5.5177	-3.03578	2003
topico07	group	1.2683	-5.5595	-2.82838	2003
topico08	equity	4.5751	-3.4028	-0.21164	2003
topico08	und	4.5633	-4.6333	-0.95466	2003
topico08	inclusion	4.5604	-4.2015	-0.69674	2003
topico08	danish	4.5347	-5.3841	-1.41658	2003
topico08	der	4.5233	-4.8448	-1.09756	2003
topico08	denmark	4.5204	-5.5867	-1.54386	2003
topico08	nicaragua	4.5092	-5.8541	-1.70878	2003
topico08	tomboy	4.5018	-6.1582	-1.8942	2003
topico08	segmentation	4.4994	-5.6994	-1.61988	2003
topico08	cross_national	4.498	-5.0059	-1.20434	2003
topico08	channel	4.4946	-4.8385	-1.10526	2003
topico08	germany	4.4931	-4.1082	-0.66768	2003
topico08	czech_republic	4.4872	-5.6809	-1.61366	2003
topico08	establishment	4.4855	-4.5159	-0.91534	2003
topico08	duty	4.4665	-4.7904	-1.08764	2003
topico08	preservice_teacher	4.4611	-6.3387	-2.01878	2003
topico08	eine	4.4555	-6.3143	-2.00638	2003
topico08	deliberation	4.4517	-6.0995	-1.87902	2003
topico08	stratification	4.4484	-4.9717	-1.20366	2003
topico08	east_asia	4.4447	-6.362	-2.03932	2003
topico08	chapter	4.4446	-4.9263	-1.17794	2003
topico08	bureaucracy	4.4354	-5.9446	-1.7926	2003
topico08	artefact	4.4316	-5.9213	-1.78014	2003
topico08	organizational_practice	4.428	-6.2863	-2.00058	2003
topico08	occupational_choice	4.4126	-6.5286	-2.15212	2003
topico08	policies_gender	4.4102	-6.3094	-2.02156	2003
topico08	revenge	4.41	-6.5592	-2.17152	2003
topico08	decisive	4.4095	-6.3299	-2.03414	2003
topico08	women_tend	4.406	-5.802	-1.7188	2003
topico08	workplace_gend	4.4048	-6.6222	-2.2114	2003
topico08	girlsa	4.4008	-5.8706	-1.76204	2003
topico08	formal	4.3673	-3.9823	-0.64246	2003
topico08	arrangement	4.3649	-4.513	-0.96184	2003
topico08	volume	4.3587	-4.6926	-1.07208	2003
topico08	gender_segregation	4.36	-5.5746	-1.60076	2003
topico08	comparative	4.2219	-4.124	-0.78564	2003
topico08	gender_equity	4.2344	-4.598	-1.06504	2003
topico08	formal_informal	4.3452	-5.563	-1.59972	2003
topico08	public_policie	4.3374	-5.6055	-1.62834	2003
topico08	equal	3.902	-4.6453	-1.22638	2003
topico08	change_gender	4.293	-5.6912	-1.69752	2003
topico08	fourth	4.1389	-5.5391	-1.6679	2003
topico08	civic	4.0314	-5.4772	-1.67376	2003
topico08	segregation	3.6526	-5.091	-1.59356	2003
topico08	country	2.3589	-4.7348	-1.89732	2003
topico08	labor_force	3.8711	-5.6572	-1.84588	2003
topico08	be	1.9151	-5.2565	-2.38786	2003
topico08	show	1.1662	-5.4433	-2.7995	2003
topico08	structure	1.7205	-5.519	-2.6232	2003
topico09	ideology	4.8595	-2.932	0.1846	2003
topico09	gender_ideology	4.8295	-5.044	-1.0946	2003
topico09	infertility	4.8213	-5.2154	-1.20072	2003
topico09	city	4.808	-2.9051	0.18014	2003
topico09	urban_rural	4.7996	-5.0421	-1.10542	2003
topico09	commute	4.7976	-5.4878	-1.37364	2003
topico09	risky_behavior	4.7926	-5.4927	-1.37858	2003
topico09	serbia	4.7886	-5.5464	-1.4124	2003
topico09	gender_ideologie	4.787	-5.348	-1.294	2003
topico09	urban	4.7854	-3.2919	-0.06098	2003
topico09	transportation	4.7767	-5.4007	-1.32974	2003
topico09	slum	4.7766	-5.6851	-1.50042	2003
topico09	neighbourhood	4.7743	-5.0949	-1.14722	2003
topico09	trip	4.7626	-5.2151	-1.22402	2003
topico09	prayer	4.7625	-5.7394	-1.53864	2003
topico09	high_status	4.7612	-5.5174	-1.40596	2003
topico09	manual	4.7593	-4.9873	-1.08866	2003
topico09	postfeminism	4.7533	-5.9186	-1.64984	2003
topico09	burial	4.7526	-5.8054	-1.5822	2003
topico09	low_status	4.7407	-5.8831	-1.63358	2003
topico09	pro	4.7207	-4.8817	-1.04074	2003
topico09	doing_gender	4.7202	-5.5087	-1.41714	2003
topico09	highlighting	4.7198	-5.569	-1.45348	2003
topico09	feminise	4.7134	-5.5161	-1.4243	2003
topico09	substantive_representation	4.7127	-6.0829	-1.76466	2003
topico09	macho	4.7119	-6.0568	-1.74932	2003
topico09	serbian	4.7111	-6.1143	-1.78414	2003
topico09	reformation	4.7058	-6.1091	-1.78314	2003
topico09	women_use	4.7044	-5.1956	-1.2356	2003
topico09	cross_border	4.7013	-6.0995	-1.77918	2003
topico09	family_plann	4.6904	-5.6156	-1.4932	2003
topico09	middle_class	4.6358	-4.1266	-0.62164	2003
topico09	anthropology	4.6557	-5.2589	-1.29306	2003
topico09	masculinity_ideology	4.677	-5.7716	-1.59216	2003
topico09	meeting	4.3826	-4.5782	-0.99388	2003
topico09	cook	4.5747	-5.5655	-1.50942	2003
topico09	converge	4.438	-5.3996	-1.46456	2003
topico09	asset	4.2093	-5.119	-1.38768	2003
topico09	working_class	4.1431	-5.2465	-1.49066	2003
topico09	site	3.0853	-4.7616	-1.62284	2003
topico09	travel	3.4079	-5.2614	-1.79368	2003
topico09	status	2.2006	-5.1108	-2.18624	2003
topico09	home	2.3634	-5.3038	-2.23692	2003
topico09	activity	1.6338	-5.329	-2.54388	2003
topico09	way	1.1887	-5.4029	-2.76626	2003
topico10	objectification	5.1097	-4.0688	-0.3974	2003
topico10	self_objectification	5.1044	-4.2959	-0.53578	2003
topico10	energy	5.101	-3.9461	-0.32726	2003
topico10	angle	5.0774	-4.7265	-0.80494	2003
topico10	posture	5.0612	-4.7686	-0.83668	2003
topico10	buddhist	5.06	-5.0523	-1.00738	2003
topico10	shame	5.0424	-3.9848	-0.37392	2003
topico10	compassion	5.0421	-5.1712	-1.08588	2003
topico10	biblical	5.042	-5.2608	-1.13968	2003
topico10	skin	5.0342	-4.4964	-0.68416	2003
topico10	distance	5.0251	-3.6729	-0.1937	2003
topico10	body_shame	5.0175	-5.5112	-1.29972	2003
topico10	anne	4.9971	-5.1965	-1.11906	2003
topico10	repetition	4.9923	-4.996	-1.00068	2003
topico10	objectify	4.9819	-5.2778	-1.17392	2003
topico10	dark	4.9808	-5.225	-1.14268	2003
topico10	hope	4.9795	-3.9437	-0.37442	2003
topico10	bible	4.979	-5.7522	-1.45972	2003
topico10	fraternity	4.9773	-5.667	-1.40928	2003
topico10	concealment	4.9712	-5.7807	-1.47994	2003
topico10	night	4.9658	-5.0897	-1.0675	2003
topico10	device	4.9623	-4.4476	-0.68364	2003
topico10	internalize	4.9622	-4.4849	-0.70606	2003
topico10	self_image	4.9572	-5.7223	-1.4505	2003
topico10	evil	4.9517	-5.9169	-1.56946	2003
topico10	subculture	4.9512	-5.1162	-1.08924	2003
topico10	lgbq	4.9485	-5.9818	-1.60968	2003
topico10	repetitive	4.9453	-5.639	-1.40528	2003
topico10	tone	4.9443	-4.7488	-0.87156	2003
topico10	body_surveillance	4.9438	-6.0024	-1.62392	2003
topico10	surveillance	4.9381	-4.5039	-0.7271	2003
topico10	phase	4.8515	-3.5347	-0.18022	2003
topico10	empathic	4.9297	-5.4987	-1.32734	2003
topico10	mood	4.8019	-4.0736	-0.5234	2003
topico10	gendera	4.9155	-5.3975	-1.2723	2003
topico10	equipment	4.9131	-5.4685	-1.31586	2003
topico10	cyber	4.9034	-5.4293	-1.29622	2003
topico10	rotation	4.8232	-5.1818	-1.1798	2003
topico10	dead	4.8817	-5.4155	-1.29662	2003
topico10	mental	4.1198	-5.2537	-1.5043	2003
topico10	stand	3.5641	-5.2065	-1.69826	2003
topico11	name	4.8799	-3.5125	-0.15554	2003
topico11	speech	4.876	-3.233	0.0106	2003
topico11	italian	4.8612	-3.8627	-0.37314	2003
topico11	vocabulary	4.8597	-4.7405	-0.90042	2003
