term	Category	Freq	Term	Total	loglift	logprob	prob
31751	topico03	12.489979	sex_women	14.083838	4.843800068	-7.341700077	-2.467500019
21067	topico03	28.939993	hiv_negative	32.682262	4.842299938	-6.501399994	-1.963920021
12945	topico03	13.850468	thata	15.731968	4.836500168	-7.238299847	-2.408379841
28307	topico03	10.197703	genotyp	11.638979	4.831699848	-7.544400215	-2.59396019
7508	topico03	22.056324	video_clip	25.221748	4.829800129	-6.772999763	-2.131879807
16139	topico03	10.381462	difference_risk	11.914093	4.826200008	-7.526599884	-2.585479927
16938	topico03	17.352001	consistent_condom	19.921991	4.825699806	-7.012899876	-2.277460003
20318	topico03	9.641023	widely_report	11.112837	4.821800232	-7.600599766	-2.631639767
10288	topico03	45.088577	doing_gendera	52.015385	4.820899963	-6.058000088	-1.706440067
29895	topico03	15.662294	problem_solving_skill	18.086683	4.819900036	-7.115300179	-2.341220093
1710	topico03	18.000872	gender_pair	20.790968	4.8197999	-6.976200104	-2.257800102
5256	topico03	73.3108	sex_partner	85.12283	4.814499855	-5.571899891	-1.417339993
24793	topico03	49.949585	pre_service	58.234127	4.810400009	-5.955599785	-1.649199867
4669	topico03	157.33043	social_status	188.6272	4.782400131	-4.808300018	-0.972019958
4898	topico03	76.1297	couple_therapy	91.37241	4.781400204	-5.534200191	-1.407960033
31066	topico03	51.826073	mst	62.439987	4.777500153	-5.918700218	-1.64022007
11128	topico03	186.93141	cancer	263.57	4.620299816	-4.635900021	-0.933420086
20104	topico03	31.295258	recurrence	38.3226	4.761300087	-6.423099995	-1.949339962
10303	topico03	69.427185	sexual_intercourse	92.153915	4.680699825	-5.626299858	-1.503499985
18862	topico03	48.74271	positive_emotion	64.15103	4.689199924	-5.980000019	-1.712320042
17876	topico03	24.114552	cad	29.09796	4.776000023	-6.68380022	-2.099880123
23826	topico03	20.965813	anxiety_stress	25.245594	4.778100014	-6.823699951	-2.182979965
21409	topico03	36.61496	dad	48.67887	4.679100037	-6.26609993	-1.888019943
6708	topico03	104.13641	intercourse	166.52072	4.494400024	-5.220900059	-1.334780025
8207	topico03	36.572235	hiv_status	49.97674	4.651599884	-6.267300129	-1.899740124
12739	topico03	59.478878	organ	93.58008	4.510700226	-5.781000137	-1.664319992
11366	topico03	50.638004	suicidal_behavior	81.391846	4.489299774	-5.941899776	-1.769419956
2720	topico03	34.305218	traumatic_stress	49.316395	4.600900173	-6.331299782	-1.9584198
3689	topico03	43.690086	gender_typical	69.347176	4.501900196	-6.08949995	-1.852939892
14225	topico03	62.269066	ptsd_symptom	113.80548	4.360799789	-5.735099792	-1.69673996
12699	topico03	53.76194	typicality	98.091736	4.362500191	-5.881999969	-1.784199905
16675	topico03	46.448586	alpha	78.65186	4.437200069	-6.028299809	-1.842099857
5253	topico03	46.485447	gender_typ	100.863235	4.189199924	-6.027500153	-1.940820122
376	topico03	189.08356	partner	1980.6576	2.614900112	-4.624400139	-1.728680038
275	topico03	158.78958	association	2213.6057	2.329099894	-4.798999786	-1.947759914
51	topico03	109.92545	status	1834.514	2.149100065	-5.166800022	-2.240439987
323	topico03	110.67388	behavior	2991.9736	1.666800022	-5.159999847	-2.4292799
274	topico03	87.54321	associate	1942.2155	1.864400029	-5.394499779	-2.490939856
885	topico03	98.21014	men_woman	3130.8958	1.501899958	-5.279500008	-2.566940022
8611	topico03	58.586815	testing	446.97296	2.931900024	-5.79610014	-2.304900074
3180	topico03	54.5866	sexual_behavior	371.6915	3.045599937	-5.866799831	-2.301839924
127	topico03	82.95333	model	3886.7346	1.116799951	-5.448299885	-2.822259951
387	topico03	69.52715	attitude	2127.9685	1.542700052	-5.624899864	-2.757859898
951	topico03	70.423134	gender_difference	4911.6753	0.718999982	-5.612100124	-3.079660082
4862	topico03	55.328297	man	1190.1837	1.895300031	-5.853300095	-2.753860044
157	topico03	55.8458	pattern	2209.486	1.285899997	-5.843999863	-2.992039919
1068	topico03	51.477478	type	2498.4421	1.081599951	-5.925499916	-3.122659969
357	topico03	50.587242	receive	1382.035	1.656200051	-5.942900181	-2.903260088
107	topico03	50.41231	support	3835.2495	0.632099986	-5.946400166	-3.315000105
15202	topico04	126.25537	microfinance	127.209984	4.845600128	-5.138999939	-1.145159912
21086	topico04	41.05484	harvesting	41.71313	4.837200165	-6.26240015	-1.822560024
13794	topico04	40.274628	guerrilla	40.923607	4.837200165	-6.281599998	-1.834079933
26330	topico04	28.314785	return_migration	28.879667	4.833399773	-6.633900166	-2.04698019
15411	topico04	61.89784	lung	63.134064	4.833399773	-5.851799965	-1.57772007
21123	topico04	69.13993	eldercare	70.70462	4.830800056	-5.74119997	-1.51239996
5106	topico04	23.940279	citya	24.493738	4.830299854	-6.801799774	-2.148959923
19427	topico04	28.24587	biodiversity	28.903444	4.83010006	-6.636400223	-2.04980011
21092	topico04	57.012535	wild	58.63642	4.825099945	-5.934000015	-1.630360031
34610	topico04	20.543919	insurgent	21.196096	4.821899891	-6.954800129	-2.244120121
34761	topico04	17.331064	childrena_education	17.884523	4.821700096	-7.124800205	-2.346200085
32947	topico04	17.325817	indian_context	17.884386	4.821400166	-7.125100136	-2.346500015
27154	topico04	22.464565	oil_palm	23.189144	4.821400166	-6.865399837	-2.190679836
4677	topico04	15.083278	womena_economic	15.638713	4.816999912	-7.263700008	-2.43142004
517	topico04	14.679174	active_duty	15.254441	4.814700127	-7.29090023	-2.448660088
33960	topico04	14.389186	review_exist	14.974434	4.813300133	-7.310800076	-2.461159992
31141	topico04	12.928056	students_boys_girl	13.522353	4.808199883	-7.417900085	-2.527460098
23817	topico04	15.959887	role_religion	16.705456	4.807499886	-7.20720005	-2.401320076
14322	topico04	14.007042	credit_market	14.716694	4.80369997	-7.337800026	-2.481200027
11251	topico04	27.063074	laborer	28.631874	4.796800137	-6.679100037	-2.088739967
13126	topico04	179.00891	loan	190.08517	4.79309988	-4.789899826	-0.956699944
18146	topico04	36.64984	fishing	39.12342	4.787799835	-6.375899792	-1.910419941
31522	topico04	29.255127	movementa	31.565367	4.777100086	-6.601299763	-2.049939823
12254	topico04	74.71672	coastal	80.63624	4.776899815	-5.663599968	-1.487400055
6435	topico04	13.395192	basin	14.461178	4.776599884	-7.382400036	-2.518800068
4000	topico04	11.023526	observed_association	11.939242	4.773300171	-7.577300072	-2.637059975
7117	topico04	14.778972	department_defense	16.032007	4.771800041	-7.284100056	-2.461740017
34020	topico04	14.564624	extreme_poverty	15.923916	4.763899803	-7.298699856	-2.473659992
9654	topico04	15.511146	studies_aim	17.058397	4.758100033	-7.235799789	-2.438239861
9456	topico04	271.74393	bangladesh	299.57028	4.755700111	-4.372499943	-0.721219921
13975	topico04	40.655582	subsistence	45.395153	4.742899895	-6.272200108	-1.866160107
11789	topico04	84.319145	chinese_woman	96.200645	4.721300125	-5.542699814	-1.437099838
10457	topico04	28.089006	law_school	31.213999	4.747700214	-6.641900063	-2.086059952
31047	topico04	63.331356	borrower	72.30347	4.720699787	-5.82889986	-1.609060001
1467	topico04	700.9613	china	896.12524	4.607500076	-3.424900055	-0.211940002
9153	topico04	84.0871	jordan	101.08153	4.669099808	-5.545499802	-1.459659958
16453	topico04	38.2875	trader	43.532825	4.72480011	-6.33220005	-1.909399986
25031	topico04	32.299896	minimum_wage	36.304928	4.736299992	-6.502299786	-2.006859875
2263	topico04	98.91689	army	125.37753	4.616099834	-5.382999897	-1.383360004
11476	topico04	35.379917	marine	40.299206	4.72300005	-6.411200047	-1.957520008
537	topico04	64.54337	military_service	78.6913	4.65500021	-5.809999943	-1.623999882
21928	topico04	45.33703	prime_minister	53.64229	4.684899807	-6.163199902	-1.823960018
4106	topico04	467.16205	chinese	785.7753	4.333199978	-3.830600023	-0.565080023
2281	topico04	147.2543	soldier	211.89723	4.489200115	-4.985199928	-1.195439911
536	topico04	375.5333	military	630.1906	4.335499763	-4.048999786	-0.695199966
9359	topico04	93.351524	conservation	131.40575	4.511199951	-5.440899849	-1.460059929
3391	topico04	105.80937	theatre	175.04611	4.349699974	-5.315700054	-1.449540043
10671	topico04	61.346935	spectacle	86.67253	4.507599831	-5.860799789	-1.713439941
1900	topico04	336.43365	india	977.99927	3.786000013	-4.158899784	-0.980939865
15651	topico04	43.03768	meritocracy	54.534782	4.616399765	-6.215199947	-1.882560062
1265	topico04	143.39693	flexibility	306.13287	4.09469986	-5.011700153	-1.369140148
2713	topico04	98.51221	hostility	213.54965	4.079500198	-5.38710022	-1.600460052
11433	topico04	72.29059	republic	142.4686	4.174699783	-5.69659996	-1.748080063
5995	topico04	107.32761	trade	320.12314	3.760299921	-5.301400185	-1.676720142
21935	topico04	48.429142	financing	73.33796	4.438199997	-6.097199917	-1.883039951
1642	topico04	118.4751	stage	828.02466	2.908799887	-5.202600002	-1.958040047
1894	topico04	63.8884	economic_growth	176.77228	3.835400105	-5.820199966	-1.957959938
298	topico04	138.39546	role	3674.3333	1.574100018	-5.047200203	-2.398680115
3393	topico04	80.49585	adaptation	554.5877	2.923099995	-5.589099884	-2.184219933
1130	topico04	78.173965	labor	733.2346	2.614599943	-5.618400097	-2.325200081
815	topico04	82.77087	society	2164.4353	1.589300036	-5.561200142	-2.701000071
1509	topico04	72.7135	family	3219.755	1.062600017	-5.69080019	-2.989440107
525	topico04	69.144455	examine	4630.6094	0.648899972	-5.741099834	-3.185099912
51	topico04	65.01608	status	1834.514	1.513200045	-5.802700043	-2.876340008
986	topico04	65.23945	development	2660.0159	1.145099998	-5.799300194	-3.021540117
5565	topico05	983.00116	migrant	985.4459	4.618100166	-3.319299936	-0.144339895
16324	topico05	44.250385	newa	44.80385	4.608099937	-6.420000076	-2.008760071
11082	topico05	222.7207	migrant_woman	225.65622	4.607500076	-4.803999901	-1.03939991
7969	topico05	43.02734	migrante	43.65169	4.606100082	-6.44810009	-2.026420021
13873	topico05	33.97014	transnational_migration	34.55073	4.603600025	-6.684400082	-2.169200039
13394	topico05	29.076342	prenatal_androgen	29.636242	4.601500034	-6.840000153	-2.263400078
13137	topico05	41.79737	informal_economy	42.605793	4.601399899	-6.477099895	-2.045699978
17634	topico05	28.138363	researchera	28.695557	4.600900173	-6.872799873	-2.283319855
20810	topico05	26.036503	remittanc	26.624691	4.598199844	-6.950399876	-2.330959988
13387	topico05	22.336956	cah	22.90723	4.595300198	-7.103700161	-2.424100018
18743	topico05	28.51429	male_migrant	29.254368	4.594900131	-6.859499931	-2.277739906
23252	topico05	29.61494	migrant_mother	30.424767	4.593599796	-6.82159996	-2.255520058
2251	topico05	939.88525	migration	966.3939	4.592700005	-3.364200115	-0.181440067
34694	topico05	19.553661	actorsa	20.107128	4.592599869	-7.236700058	-2.504980087
34216	topico05	21.604704	choicea	22.224483	4.592299938	-7.137000084	-2.445280075
24431	topico05	51.317547	peruvian	52.79757	4.592100143	-6.271900177	-1.926300049
13388	topico05	18.647161	congenital_adrenal_hyperplasia	19.210981	4.590799809	-7.284200191	-2.534200191
3709	topico05	34.582783	kinsey	35.65378	4.590099812	-6.666600227	-2.163920212
18739	topico05	61.90637	female_migrant	63.91101	4.588699818	-6.084300041	-1.815100098
14991	topico05	65.70668	migratory	67.902695	4.58769989	-6.024700165	-1.779740143
34338	topico05	16.51386	multi_layer	17.073715	4.587200165	-7.405700207	-2.608540058
16559	topico05	115.37861	remittance	119.34377	4.586800098	-5.461699963	-1.442299938
13221	topico05	56.29957	gender_migration	58.35973	4.584599972	-6.179200172	-1.873680115
34597	topico05	14.39131	aged_complet	14.958001	4.58190012	-7.543300152	-2.693220043
21822	topico05	13.74267	critical_mass_theory	14.296144	4.581099987	-7.589399815	-2.721199894
5567	topico05	28.969639	migration_studie	30.17608	4.579800129	-6.843699932	-2.274299908
22172	topico05	14.47517	migrant_population	15.108441	4.577700138	-7.537499905	-2.691419888
15742	topico05	18.835558	skilled_migrant	19.727676	4.574299812	-7.274199963	-2.534800053
17954	topico05	16.01446	immigration_policy	16.837349	4.570400238	-7.436399937	-2.633679867
16328	topico05	12.311133	transnational_space	12.989548	4.566899776	-7.699399948	-2.792880058
2247	topico05	54.78528	international_migration	57.912407	4.565000057	-6.206500053	-1.897900009
21939	topico05	27.458982	techno	29.106548	4.562300205	-6.897200108	-2.313399982
5210	topico05	563.6524	mobility	637.66864	4.497200012	-3.875499964	-0.526419973
27845	topico05	41.97791	vet	45.129436	4.54820013	-6.472799778	-2.064399815
23806	topico05	49.54038	resettlement	53.745174	4.53910017	-6.307099819	-1.968619823
18465	topico05	51.77155	guatemala	56.441826	4.534200191	-6.263100147	-1.944180012
5566	topico05	33.866722	migration_gend	36.572826	4.543700218	-6.6875	-2.195019913
15323	topico05	121.199585	migrate	144.73376	4.443099976	-5.412499905	-1.470259953
21826	topico05	85.6712	nordic	102.20347	4.444099903	-5.759399891	-1.677999973
3128	topico05	73.12001	filipino	92.18194	4.388899803	-5.91779995	-1.795120049
2878	topico05	290.57095	border	494.3049	4.089300156	-4.538099766	-1.087139797
10838	topico05	87.901344	kin	118.493744	4.321899891	-5.733699799	-1.711459923
4998	topico05	301.6854	europe	582.0684	3.963399887	-4.500500202	-1.114940166
1433	topico05	316.75253	transnational	659.4724	3.887200117	-4.45179987	-1.116199875
13135	topico05	86.484116	economic_crisis	126.37759	4.24119997	-5.749899864	-1.75345993
12568	topico05	43.456802	deaf	51.076775	4.459000111	-6.438099861	-2.079259872
417	topico05	137.94331	native	252.76828	4.014900208	-5.283100128	-1.563899994
3308	topico05	103.428024	settlement	176.03227	4.088799953	-5.571000099	-1.707080078
9561	topico05	64.543144	arrival	95.45006	4.229300022	-6.042600155	-1.933840084
407	topico05	135.67033	immigration	294.50214	3.845499992	-5.299699783	-1.641619873
9603	topico05	56.594273	settle	85.832085	4.204100132	-6.173999786	-2.022759819
16949	topico05	89.236336	mobile	212.29488	3.753900051	-5.718599796	-1.929599857
7721	topico05	56.13499	migrant_worker	85.78049	4.196499825	-6.182099819	-2.030659962
1405	topico05	133.81914	european	607.1476	3.108299971	-5.313399792	-1.944719887
5405	topico05	98.45766	money	380.026	3.269900084	-5.620299816	-2.064219856
229	topico05	125.38995	economic	1145.5806	2.408299923	-5.378499985	-2.263780022
1509	topico05	165.90056	family	3219.755	1.654899955	-5.098499775	-2.397139883
1385	topico05	91.75824	travel	463.45154	3.000999928	-5.69080019	-2.214080143
1794	topico05	143.02283	country	2585.888	1.725700021	-5.246900082	-2.457860041
699	topico05	131.39336	live	2162.7915	1.819599986	-5.331699848	-2.471179914
230	topico05	97.58106	economy	869.289	2.433599949	-5.629199982	-2.404080009
406	topico05	89.38305	immigrant	687.49255	2.58039999	-5.717000008	-2.398040009
4878	topico05	85.72086	origin	599.7951	2.675100088	-5.75880003	-2.385239983
5906	topico05	78.57727	return	646.92084	2.512399912	-5.845799923	-2.502519989
3823	topico05	70.53352	northern	230.37209	3.4368999	-5.953800201	-2.197520161
