id	A�o	Revista	Titulo	Resumen	Tipo	Pais
2-s2.0-84880508056	2013	Educational Studies	Cognitive style and gender differences in children's mathematics achievement	Males are often found to outperform females in tests of mathematics achievement and it has been proposed that this may in part be explained by differences in cognitive style. This study investigated the relation between Wholistic-Analytic and Verbal-Imagery cognitive style, gender and mathematics achievement in a sample of 190 Australian primary school students aged between 8-11 years (M = 9.77, SD = 1.05). It was hypothesised that males would outperform females in mathematics achievement tests, and that gender would interact with cognitive style on mathematics performance. A significant gender/cognitive style interaction was found. Boys with an Analytic/Imagery style achieved significantly higher results than the girls with an Analytic/Imagery style, supporting the contention that certain cognitive styles affect boys and girls mathematics performance differently. Implications of results and strategies for improving mathematics achievement among girls are discussed. © 2013 Copyright Taylor and Francis Group, LLC.	Article	 Australia
2-s2.0-77954102481	2010	European Journal of Development Research	Identifying and addressing gender issues in doing business	Doing Business, the World Bank's annual flagship publication, claims that payoffs for women from regulatory reform are large despite a lack of explicit focus on social factors affecting the economic participation of women. Taking off from our previous findings that discrimination hindering women's economic participation originate at the level of traditions and perpetuate at the level of regulations, this article suggests a combined qualitative and quantitative methodology that addresses gender issues in the Doing Business project. The approach evaluates discrimination at the level of traditions with one of two quantitative methodological options that incorporate gender perspectives at the regulatory level.	Article	 Germany
2-s2.0-85030654228	2017	Journal of Teaching in Physical Education	Gender-biased communication in physical education	Purpose: This study examined physical education teachers' awareness of gender equitable practices as well as the language and behaviors they employed in the physical education environment. The purpose of the study was to determine (a) what teachers know about gender equitable practices, (b) what types of gender bias are demonstrated, and (c) how teachers are influenced to adopt gender equitable behaviors in the physical education context. Method: A multiple-case study approach was used to provide an in-depth analysis of the attitudes and behaviors of four physical education teachers from four different schools. Teachers were formally and informally interviewed before, during, and after four extensive two-week periods of observations that included being audio recorded throughout the school day. Results: Themes emerged across the cases indicating that teachers engaged in teaching practices that reinforced gender stereotypes through biased language and gender segregation. Discussion/Conclusion: Teachers' lack of awareness and understanding of gender equity prevented them from providing an inclusive learning experience for all students. © 2017 Human Kinetics, Inc.	Article	 United States
2-s2.0-84912527357	2014	Urban Geography	Gender, social network geographies, and low-wage employment among recent Mexican immigrants in Los Angeles	This article explores gender differences in the characteristics, spatiality, and capacities of local social networks and their impacts on the employment of recent Mexican immigrants to Los Angeles. After describing the institutional landscape of the regional labor market that new entrants must navigate to find work, I turn to unique and detailed data from a randomized household survey of Mexican immigrants in Los Angeles County. I analyze the role of friends, family members, and neighbors in shaping occupational segregation and hourly earnings of those who migrated to the region during the preceding 5 years. Results suggest that local social networks operate differently for men and women and tend to reinforce differences in mobility and employment. This research contributes both empirically and theoretically to literature on immigrant economic integration by showing how uneven urban labor markets are constituted spatially through gendered networks that connect workers differently to homes, communities, and work places. © 2014 Taylor & Francis.	Article	 United States
2-s2.0-84947129851	2015	International Feminist Journal of Politics	Northern Crises: Women's Relationships and Resistances to Resource Extractions	"Using feminist disability studies and intersectionality, this article draws upon the ongoing resource extractions in Labrador, Canada to argue for examining local communities and relationships as one way to understand gender and global social, economic and environmental crises. The article explores how crises in Labrador have been constituted and maintained around global agendas of economic and resource development, historical and current colonial practices and a limited and constrained international relations with local Indigenous nations. The lives of women and their communities in Labrador illustrate one wave of a global crisis that extinguishes diversity and connection to the land in a race to extract natural resources, maintain global military power and gain profit in the global economy. The actions over the past thirty years by NATO and the Canadian federal, provincial and municipal governments, coupled with transnational mining corporations such as Vale, have ""normalized"" crisis in the communities and reduced the capacity of these communities and Indigenous nations to respond to the issues arising as a result of the Muskrat Falls hydroelectric development project. Yet the women and their communities illustrate their agency and reject an analysis of them exclusively as victims. Together with researchers and activists, the women in Labrador have built a community of practice in the Feminist Northern Network. © 2015 Taylor and Francis."	Article	 Canada
2-s2.0-84872041071	2013	Women and Therapy	Sister Friends: A Reflection and Analysis of the Therapeutic Role of Sisterhood in African American Women's Lives	Research with ethnically diverse women has found that friendships can enhance women's health and mental wellbeing (Greif & Sharpe, 2010). Sister friends can be crucial in assisting African American women and women of ethnically diverse backgrounds to face, address, and overcome, major transitions including stress and traumatic stress. Through a reflection and analysis of the relationship with a sister friend, the author explores the strength and challenges of sister friendship as well as therapeutic value. Recommendations are provided for sisterhood as a clinical intervention as well as for women therapist's self care. A case study of an African American woman in need of mutual sister friends is summarized. This exploration is shared through a womanistic psychology. © 2013 Copyright Taylor and Francis Group, LLC.	Article	 United States
2-s2.0-30844458562	2006	Men and Masculinities	Split ends: Masculinity, sexuality and emotional intimacy among HIV-positive heterosexual men	"Examining the narratives of eighteen heterosexual drug-injecting men living with HIV, this study seeks to understand how HIV-positive men negotiate issues of masculinity, sexuality, and emotional intimacy. It focuses specifically on strategies HIV-positive men use to manage emotional vulnerability in sexual encounters. We identify a core theme of ""splitting,"" in which men compartmentalize the domains of sexuality and emotional intimacy. We examine how this aspect of masculinity is at times exacerbated as a strategy to minimize emotional investment in sexual partners. By splitting the emotional and sexual domains, the men are able to perform sexually with casual sex partners while minimizing both the risk of infecting intimate partners and a fear of rejection from those they care about or desire most. However, the tensions created by splitting the emotional and sexual domains may disintegrate intimate interpersonal relationships that serve as a base of much-needed emotional support. © 2006 Sage Publications."	Article	 Seropositive Urban Drug Injectors Study (SUDIS) Team
2-s2.0-85027929888	2015	IEEE Transactions on Engineering Management	Gender Biases in Hiring Project Managers: Perceptions of Trust and Likeability	There have been numerous studies examining the effects of social role theory on negative stereotyping of female managers, including low perceived likeability and unwillingness by subordinates to trust them. These attributions are particularly relevant in the context of 'male-dominated' jobs, such as technical disciplines like engineering and project management. We investigated the specific setting of project manager job candidate selection, a professional discipline that has historically been male-dominated, but one that has seen a large rise in female project managers over the past decade. We examined the perceptions of respondents to differences in male and female job candidates based on the critical personal/managerial characteristics of trust and likeability. Using a scenario-based survey questionnaire, we sampled 312 project management personnel and tested subjects' reactions to two candidates for a project management position, employing identical descriptions and language while only changing the candidate's name: Susan or Stan. Our results suggested that, contrary to expectations, respondents' perceptions of the female candidate, Susan, were significantly higher across both managerial dimensions of likeability and trust. Implications of these findings and directions for future research are discussed. © 1988-2012 IEEE.	Article	 United States
2-s2.0-85037682694	2018	International Review of Financial Analysis	Audit committee financial expertise, gender, and earnings management: Does gender of the financial expert matter?	The effectiveness of the presence of financial expertise on the audit committee (AC) in reducing earnings management has been the subject of many previous studies with mixed findings. This paper suggests that the mixed findings may be due to prior studies not distinguishing between the genders of the financial experts on the AC. We investigate how financial expertise affects earnings management taking into account the gender of the financial expert. We use the data of a sample of 5660 US firm-year observations from 2007 to 2013 which was analysed using least squares regressions clustering by firm. The results indicate that proportion of financial expertise on the AC and gender reduces earnings management. We then group the AC financial experts by gender, and examine whether the gender of the financial expert matters. The results show that the proportion of female financial experts on the AC is significantly associated with less earnings management while the proportion of male financial experts does not significantly affect earnings management; this suggests that previous studies indicating that the presence of a financial expert on the AC may have been influenced by gender of the female financial experts. Further, our findings may also partly explain the contradictory findings of prior studies on the effect of financial expertise on the ACs effectivness. © 2017 Elsevier Inc.	Article	 United Kingdom
2-s2.0-33751243369	2006	Journal of Behavioral Health Services and Research	Pregnant women in women-only and mixed-gender substance abuse treatment programs: A comparison of client characteristics and program services	This study compared characteristics of pregnant women treated in women-only (WO) and mixed-gender (MG) substance abuse treatment programs and compared services provided by these two types of programs. Participants were 407 pregnant women who were admitted to 7 WO programs and 29 MG programs in 13 counties across California during 2000-2002. Pregnant women treated in WO programs demonstrated greater severity in drug use, legal problems, and psychiatric problems than those treated in the MG programs. They were also less likely to be employed and more likely to be homeless. Women-only programs were more likely to offer child care, children's psychological services, and HIV testing. The greater problem severity of pregnant women treated in WO programs suggests that these specialized services are filling an important gap in addiction services, although further expansion is warranted in psychiatric, legal, and employment services. © 2006 National Council for Community Behavioral Healthcare.	Article	 United States
2-s2.0-85046099276	2018	Ethnobiology and Conservation	Practices and spaces by gender: Landscapes and rural tasks of livestock producers of the Sierras Chicas from Córdoba, Argentina	The present contributions shows as the gender role and the economic way of life of people have influence among landscape perception and classification. Data were obtained by the use of semistructured surveys aimed at criollo cattle ranchers in the mountains of Córdoba and index of cultural significance, economic value and statistical differences by gender were calculated. It is observed the domestic role of women as a cultural guide of these population, which determines their action in the different perceived units of landscape. Also was verified that the domestic units have greater degrees of classification, and that such classification is related to their practice of generalist breeding. Likewise, vegetation management practices related to their occupation are also revealed. © 2018 Universidade Federal Rural de Pernambuco.	Article	 Argentina
2-s2.0-18344393794	2005	Journal of Criminal Justice	Gender equity, traditional masculine culture, and female homicide victimization	Several prior studies of gender equity and female violent victimization showed a positive relationship between the two, with some scholars defining this as a backlash effect due to increasing gender equity in the context of conservative gender role expectations. This assertion was tested here under a more general set of theories about real and perceived threats to White male dominance in the United States that suggested that the positive relationship between gender equity and female victimization was conditioned by the strength of traditional masculine culture. Using cross-sectional data and employing a commonly tested baseline model to control for other structural covariates of homicide rates, variables were introduced to represent gender income equity and different components of traditional masculine culture. Results confirmed a positive cross-sectional relationship between gender income equality and White non-Hispanic female homicide victimization rates, but did not show the expected interaction effects, leading the authors to conclude that other structural or cultural factors were the source of the positive relationship. © 2005 Elsevier Ltd. All rights reserved.	Article	 United States
2-s2.0-77952484399	2010	Feminist Criminology	Dance ponnaya, dance! police abuses against transgender sex workers in Sri Lanka	Feminist theory and research are limited in their focus on intersections of gender and sexual orientation in the victimization of sex workers. Through inductive analysis of 24 in-depth interviews and 3 focus groups with male-to-female transgender sex workers in Sri Lanka, police mistreatment was examined to show how the abuses sex workers experience reflect the intersectional nature of gendered victimization. Findings indicate they experience victimization by police simultaneously targeting their feminine gender expression and homosexuality. These abuses include verbal, physical, and sexual abuse as well as inequality in the police response to both their victimization and criminality. © The Author(s) 2010.	Article	 United States
2-s2.0-85061245903	2019	Journal of Gay and Lesbian Social Services	Catering to sex, sexual, and gender diversity: An exploratory study on the effects of LGBTI awareness training on aged care staff in Tasmania, Australia	The Australian National LGBTI Ageing and Aged Care Strategy seeks to address the lack of recognition of older lesbian, gay, bisexual, transgender, and intersex (LGBTI) adults living in aged care. Awareness training for aged care staff forms a crucial part of this strategy, but the impact of such educational programs are yet to be examined. In this article, we examine the effects of LGBTI awareness training on staff working in an Australian aged care facility. These staff perceived the awareness training as valuable, but the outcomes from it were limited. Therefore, we indicate changes that are necessary to support the translation of training into practice. © 2019, © 2019 Taylor & Francis Group, LLC.	Article	 Australia
2-s2.0-85015670199	2017	Ethical Theory and Moral Practice	Home Economics for Gender Justice? A Case for Gender-Differentiated Caregiving Education	Recent calls for reinstituting mandatory home economics education have emphasized its potential to advance gender egalitarian aims. The thought is that, because women’s disproportionate performance of caregiving and household labor is partially caused by gender socialization that better prepares women than men for such work, we can disrupt gender inegalitarian work distributions by preparing everyone for the sort of work in question. The curricula envisioned in these calls are gender-neutral, in the sense that they recommend identical educational interventions for all genders. By exploiting a parallel between gender-neutral educational policies and gender-neutral family leave policies, we argue first that gender-neutral home economics instruction is unlikely to advance gender egalitarian aims, and may in fact reinforce the very outcomes it is meant to disrupt. However, we further argue that a more radical home economics curriculum could avoid these difficulties. To the extent that we value educational interventions as a possible means for advancing gender egalitarian aims, we have good reason to seriously consider adopting a gender non-neutral program in which all and only boys receive mandatory caregiving instruction. © 2017, Springer Science+Business Media Dordrecht.	Article	 United States
2-s2.0-85052661183	2019	Gender, Work and Organization	New managerialism in the academy: Gender bias and precarity	In the era of global competition, academic institutions are increasingly being managed as efficient organizations where early career academics are the most vulnerable group in the academic hierarchy. We use gender budgeting to deconstruct the financial and managerial processes and procedures in a selected academic institution in Iceland. Drawing on multiple data collection methods, we argue that new managerialism enhances the precarious position of early career academics, especially women and those in the more feminized fields. Furthermore, we show that the system's bias in favour of so-called hard science generates gendered consequences for early career academics. We demonstrate this structural gender bias in each of the first three stages of an academic career: PhD, postdoc and other temporary positions, and assistant professorship. By highlighting the gendered consequences of new managerialism, we want to direct attention to the need to include a gender perspective in the budgeting and all the decision-making processes in academic institutions. © 2018 John Wiley & Sons Ltd	Article	 Switzerland
2-s2.0-84922410226	2015	Gender, Place and Culture	Political dynamics of the post-communist Montenegro: one-party show	Montenegro is the only European post-communist country governed by the same party – the Democratic Party of Socialists – since the introduction of political pluralism. Thought-provoking as such, this appears even more puzzling in light of the radical transformation that the party underwent during this period. Once the pillar of the Montenegrin hybrid regime, the DPS played the key role in the country's democratization, subsequent to the 1997 split within its leadership. Moreover, being the most vocal advocate of a state federation with Serbia for more than a decade, it became the main political force behind the renewal of Montenegrin independence. This article seeks to contribute to a better understanding of this unique and understudied post-communist political phenomenon. It argues that the DPS's longevity in power has been determined by two factors. In the earlier non-democratic governing phase, it was the considerably high level of the party's institutionalization that brought about its political supremacy. In the following period, the party managed to monopolize the idea of Montenegrin sovereignty, thus acquiring a significant amount of political legitimacy. The article uses the explaining outcome process tracing method that attempts to craft a minimally sufficient explanation of an outcome by combining theoretical and case-specific mechanisms. © 2013 Taylor & Francis.	Article	 Hungary
2-s2.0-84897663671	2013	Journal of Men's Studies	Men against the wall: Graffiti(ed) masculinities	This paper invokes the categories of the masculine that have been discursively constructed in the historical and social context of hip hop and graffiti culture. The production and performance of graffiti(ed) masculinities are the result of a complex mix that samples notions of class, race, violence, space, commodification, gender, resistance, and violence. Graffiti culture embodies the colonizer's ideals of a masculinity that is dangerous, aggressive and takes risks, while giving men a medium with which to tell their stories and allowing them to express their emotions. The article argues that graffiti(ed) masculinities are composed of seemingly disparate and complex components that shadow the masculine ideals of the colonizer, of hegemonic masculinity, as well as borrowing from notions of subordinate and resistive masculinities. © 2013 by the Men's Studies Press, LLC.	Article	 Australia
2-s2.0-84901269667	2014	Politics and Gender	The hidden women's movement	It is important to take the time and look both backward and forward at the women's movement: how it has influenced the past and how it is likely to be important in the future. But why do we ask this question in the first place? © 2014 Women and Politics Research Section of American Political Science Association.	Article	 United States
2-s2.0-84874511466	2012	Psychology of Men and Masculinity	"Show me the data! Empirical support for the ""centerfold syndrome"""	Concern about depictions of objectified females in the media has been longstanding. Research on the effects of such depictions on males has been undertheorized, however, as most theorizing has focused on outcomes related to sexual aggression. One scholar has developed a detailed theory of how heterosexual males are affected by objectifying portrayals of females in the media: Gary Brooks. The purpose of this article was to assess Brooks' claims for empirical support, because his theory has been criticized as anecdotal and unsubstantiated (Barbee, 1998). Although Brooks relies very little on social scientific data to generate his arguments, the relevant quantitative literature is largely in alignment with his media-related assertions. Certain components of Brooks' theory are more supported than others, though. Critiques of the applicable literature are provided and directions for future research are derived from these appraisals. © 2011 American Psychological Association.	Article	 United States
2-s2.0-85056657574	2018	Men and Masculinities	Is “Hegemonic Masculinity” Hegemonic as Masculinity? Two Israeli Case Studies	In this article, we consider Connell’s theory of masculinity through a phenomenon we encountered in our respective research projects, one focusing on the construction of masculinity among early Zionist ideological workers and the other focusing on present-day military masculinities and ethnicity in Israel. In both contexts, a bodily performance which marks the breach of “civilized behavior” is adopted in order to signify accentuated masculinity. In both, a symbolic hierarchy of masculinities emerges, in which Arabs—and in the case of Golani soldiers, also “Arab Jews,” that is, Jews who descended from Arab countries—are marked as more masculine than hegemonic Ashkenazi men (i.e., men of European descent). Thus, while our case studies support Connell’s argument that masculinity may be practiced in various ways, the hierarchical relationship between masculine styles appears to be more multilayered than Connell’s theory suggests. We connect the tension between masculine status, understood as a location within a symbolic hierarchy of masculinities, and social status in our case studies to the contradiction at the heart of modern masculinity. We argue that in order to account for this tension, which may arise in specific interactional contexts, we need a concept of masculinity as a cultural repertoire, of which people make situated selections. The repertoire of masculinity is where the elements and models that organize both masculine practice and perceptions concerning masculinity are stored. While selections from the repertoire of masculinity cannot be conceived as voluntary, the conventional nature of cultural repertoires allows for some leeway in the selections that people make. Hence, it allows for a more flexible relationship between social positions and masculine styles. © The Author(s) 2017.	Article	 Israel
2-s2.0-22144457005	2005	Social Science and Medicine	"""If they rape me, I can't blame them"": Reflections on gender in the social context of child rape in South Africa and Namibia"	The study was based on 77 semi-structured in-depth interviews and 3 small group discussions which were conducted with informants in Windhoek, Namibia and rural Mpumalanga province, South Africa. Children (abuse survivors and others), parents, men and women from the community and a range of key informants (such as police, social workers, health workers, NGO staff and teachers) were asked about their experiences and perceptions of child rape and child rearing. This study has its roots in the recent popular concern about the high prevalence of child rape in Southern Africa. Drawing on the data, we reflect on aspects of the social context of child rape in South Africa and Namibia that at least provide space for, without actually legitimating, these acts. We argue that children are rendered vulnerable to abuse because of a series of ideas which create opportunities, the most important of which is the dominant patriarchal ideology, compounded by the pronounced age hierarchies found in these societies. The high status of men, with respect to particularly girl children, leads to vulnerability through reducing girls' ability to refuse sexual advances and generating expectations in men that they should control women and children. Rape is often an act of punishment, used to demonstrate power over girl children and manufacture control. Rape is also used as an instrument of communication with oneself (the rapist) about masculinity and powerfulness. This ability to avoid being caught was important in some rapes. Some children are rendered vulnerable by coming from backgrounds where the likelihood of cases being pursued was low. Whilst it is often said that communities abhor child rape, responses to cases show that often strong action is not taken against perpetrators and the girls may be equally, or predominantly, blamed. In cases close to home, perpetrators are often protected. Thus the dominant message is that much as child rape is abhorred, responses are highly inadequate. Advances in gender equity are central to positive change. © 2005 Elsevier Ltd. All rights reserved.	Article	 H.
2-s2.0-84875814398	2013	World Development	From Nutrition to Aspirations and Self-Efficacy: Gender Bias over Time among Children in Four Countries	"We use data on children at ages 8, 12, and 15 from Young Lives, a cohort study of 12,000 children across Ethiopia, India (Andhra Pradesh), Peru, and Vietnam to document the presence of a gender gap across indicators of nutrition, education, aspirations, subjective well-being, and psychosocial competencies. We find considerable heterogeneity across countries, ages, and indicators in the existence and direction of gender gaps. Second, we find evidence of an ""institutionalized"" gender bias against girls in education in India and, to an extent, Ethiopia. Poorer non-cognitive skills could be a channel for continuing gender bias through poorer labor market outcomes. © 2012 Elsevier Ltd."	Article	 United Kingdom
2-s2.0-33744979504	2006	Quality Management in Health Care	"Physician gender and primary care patient satisfaction: No evidence of ""feminization"""	"BACKGROUND: Observers predict that the influx of women into the medical profession will alter the way in which medicine is practiced, incorporating more ""feminine"" values of caring, listening to patients, and patient centeredness, in contrast to the ""masculine"" values of curing, dictating to patients, and care provider centeredness. Consequently, patient satisfaction with medical care will improve. SUBJECTS AND METHODS: Retrospective database analysis of satisfaction survey data. A total of 3985 surveys from primary care patients were examined after having identified the gender of the patient's physician. Ten survey items that pertained to physician attributes were analyzed, individually and in the aggregate, in a series of 2 × 2 analyses of covariance, with physician gender and patient gender serving as independent variables, and patient age and the overall level of patient satisfaction from the physician's facility serving as covariates. An additional analysis of covariance, with the same independent variables and covariates, examined patients expressed likelihood of recommending their physician to others. RESULTS AND CONCLUSIONS: There were no main or interaction effects for physician gender or patient gender after adjusting for patient age and facility-level satisfaction. The implications of these results for the ""feminization"" hypothesis are discussed. © 2006 Lippincott Williams & Wilkins, Inc."	Article	 United States
2-s2.0-84917689712	2014	Mediterranean Journal of Social Sciences	Exploring university students’ gender role attitudes and their effects on sexuality and behaviour towards hiv/aids prevention: A case study	The paper investigated the effects of gender attitudes and the extent to which they impact on the sexuality of third year Bachelor Degree students in a Zimbabwean university. The goal of the study was to establish their level of awareness to the existing HIV/AIDS preventive measures. The study used a total sample size of 80 participants selected from four faculties in the university through the gender stratified random sampling technique. The design adopted was a quantitative case study and data were elicited by means of questionnaires, focus group interviews and observations of co-curricular activities. The analysis of findings followed the use of descriptive and inferential statistics, with statistical models such as the chi-square test of significance being adopted to establish the students’ differential gender attitudes towards sexuality and awareness to the existence of HIV/AIDS preventive measures. The major findings indicated that the students’ attitudes towards sexuality were gender based while their awareness to HIV/AIDS preventive strategies was mainly influenced by gender stereotypes and cultural beliefs about femininity and masculinity. The study concluded that there is an imperative need for social structures to help deconstruct the gender biases, stigmas, stereotypes and prejudices that render girls and women vulnerable. This can be done through the use of gender neutral discourses and advocacy activities by their lecturers, parents, teachers as significant others in their society. © 2014, Mediterranean Center of Social and Educational Research. All right reserved.	Article	 South Africa
