Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Brinkema E.","Critique of silence",2011,"Differences","22","2-3",,"211","234",,2,10.1215/10407391-1428897,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855401285&doi=10.1215%2f10407391-1428897&partnerID=40&md5=833f0262fdd3cc6023e880ac7099dffb","Massachusetts Institute of Technology, United States","Brinkema, E., Massachusetts Institute of Technology, United States",[No abstract available],,,"Brinkema, E.; Massachusetts Institute of TechnologyUnited States",,,10407391,,,,"English","Differences",Article,,Scopus,2-s2.0-84855401285
"Mowitt J.","Like a Whisper",2011,"Differences","22","2-3",,"168","189",,4,10.1215/10407391-1428879,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855402603&doi=10.1215%2f10407391-1428879&partnerID=40&md5=c8a5a757063d9bf09839744669b98567","Department of Cultural Studies and Comparative Literature, University of Minnesota, United States","Mowitt, J., Department of Cultural Studies and Comparative Literature, University of Minnesota, United States",[No abstract available],,,"Mowitt, J.; Department of Cultural Studies and Comparative Literature, University of MinnesotaUnited States",,,10407391,,,,"English","Differences",Article,,Scopus,2-s2.0-84855402603
"Erlmann V.","Descartes's resonant subject",2011,"Differences","22","2-3",,"10","30",,3,10.1215/10407391-1428825,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855364861&doi=10.1215%2f10407391-1428825&partnerID=40&md5=6c42d3c968a61c995f887899cb76e84c","University of Texas, Austin, TX, United States","Erlmann, V., University of Texas, Austin, TX, United States",[No abstract available],,,"Erlmann, V.; University of Texas, Austin, TX, United States",,,10407391,,,,"English","Differences",Article,,Scopus,2-s2.0-84855364861
"Pettman D.","Pavlov's podcast: The acousmatic voice in the age of MP3s",2011,"Differences","22","2-3",,"140","167",,3,10.1215/10407391-1428870,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855410261&doi=10.1215%2f10407391-1428870&partnerID=40&md5=59fd451f3458bab0701e7b121f6c10e3","Culture and Media, Eugene Lang College, United States; Liberal Studies, New School for Social Research, United States","Pettman, D., Culture and Media, Eugene Lang College, United States, Liberal Studies, New School for Social Research, United States",[No abstract available],,,"Pettman, D.; Culture and Media, Eugene Lang CollegeUnited States",,,10407391,,,,"English","Differences",Article,,Scopus,2-s2.0-84855410261
"Sterne J., Rodgers T.","The poetics of signal processing",2011,"Differences","22","2-3",,"31","53",,9,10.1215/10407391-1428834,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855365338&doi=10.1215%2f10407391-1428834&partnerID=40&md5=055086d25a3f603ef26fc5f6e590f656","Department of Art History and Communication Studies and the History and Philosophy of Science, McGill University, Canada; Women's Studies Department, University of Maryland, United States","Sterne, J., Department of Art History and Communication Studies and the History and Philosophy of Science, McGill University, Canada; Rodgers, T., Women's Studies Department, University of Maryland, United States",[No abstract available],,,"Sterne, J.; Department of Art History and Communication Studies and the History and Philosophy of Science, McGill UniversityCanada",,,10407391,,,,"English","Differences",Article,,Scopus,2-s2.0-84855365338
"Steintrager J.A.","Speaking of noise: From murderous loudness to the crackle of silk",2011,"Differences","22","2-3",,"249","275",,2,10.1215/10407391-1428915,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855401567&doi=10.1215%2f10407391-1428915&partnerID=40&md5=024f6dec277d1164d787776f785a1bbf","University of California, Irvine, CA, United States","Steintrager, J.A., University of California, Irvine, CA, United States",[No abstract available],,,"Steintrager, J.A.; University of California, Irvine, CA, United States",,,10407391,,,,"English","Differences",Article,,Scopus,2-s2.0-84855401567
"Chion M.","Dissolution of the notion of timbre",2011,"Differences","22","2-3",,"235","239",,1,10.1215/10407391-1428906,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855410279&doi=10.1215%2f10407391-1428906&partnerID=40&md5=a49928aa419fb388c9ae6329cb8c867a",,"Chion, M.","Translator's note: The two essays by Michel Chion translated in this special issue originally appeared in the French journal Analyse musicale. 1 Separated by an interval of some twenty years, they confirm both a continuous concern with and development in thought regarding the value of the sonic sources of music. I would merely add that the essay ""Pour en finir avec la notion du bruit,"" rendered here as ""Let's Have Done with the Notion of 'Noise,' ""poses a peculiar-and indeed intriguing and heuristic-problem of translation. Of course, translations frequently come up against mismatches between source and target languages. Even words that seem to denote primarily the same objects or concepts will often- almost inevitably-connote differently or cover ranges of meaning that do not fully overlap. Further, where the meaning of a word in the source language echoes perfectly the sense of a word in the target language, there is no guarantee that their semantic equivalence will carry over to the level of discourse-to the level of words embedded in sentences and of sentences in context. It is precisely these idiosyncrasies that are the starting point for the author's reflections, and the reader will want to keep in mind that bruit is precisely not-or rather not just-French for ""noise"" either in meaning or in use. As for context more narrowly speaking, the reader should recall that the author's remarks initially appeared in a periodical aimed at readers interested-in both the weak and strong senses-in music in general and the institutions of French music in particular. As the author indicates in the course of his argument, this investment entails a certain passive-and at times active-resistance among the otherwise musically forward looking to removing the otherwise contingent distinction between sounds of illustrious origin and supposedly ignoble noise. © 2011.",,,"Chion, M.",,,10407391,,,,"English","Differences",Article,,Scopus,2-s2.0-84855410279
"Liu X.","From larva to butterfly: Sophia in ding ling's miss sophia's diary and coco in wei hui's",2011,"Asian Journal of Women's Studies","17","4",,"69","98",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862928015&partnerID=40&md5=9ed8f1bf3d8009fadf403fd283068124",,"Liu, X.","Sophia and Coco are two characters in Ding Ling's Miss Sophia's Diary (1928/1995) and Wei Hui's Shanghai Baby (1999), respectively. Like a larva, Sophia, who enters society in the early twentieth century, is weak and immobile. Coco, who lives at the end of the twentieth century, is like a butterfly leading an outlandish lifestyle. The differences between Sophia and Coco reflect the achievement of official feminism, which liberated Chinese women from traditional patriarchal control in the social sense. However, gender issues for women remain unresolved. To fight against traditional patriarchy and especially challenge gender oppression in official feminism, both Sophia and Coco boldly acknowledge and pursue sexual desire. Their feminist discourses are both commendable and controversial, given their situations and the times in which they live. © 2011 Asian Center for Women's Studies; Ewha Womans University Press.","Body writing; Female sexuality; Feminist discourse; Male gaze; Modern Chinese women; Official feminism",,"Liu, X.",,,12259276,,,,"English","Asian J. Women's Stud.",Article,,Scopus,2-s2.0-84862928015
"Devonish H.","'Wine', Women and Song: The More Things Change...",2011,"Sexuality and Culture","15","4",,"332","344",,1,10.1007/s12119-011-9108-z,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80955163639&doi=10.1007%2fs12119-011-9108-z&partnerID=40&md5=4dd445b517fde20b315fdd6df5a06c15","Department of Language, Linguistics and Philosophy, The University of the West Indies, Mona Campus, Kingston 7, Jamaica","Devonish, H., Department of Language, Linguistics and Philosophy, The University of the West Indies, Mona Campus, Kingston 7, Jamaica","The paper addresses the socially controversial issue of the public expression of sexuality in dance in the Caribbean. Of particular interest is the phenomenon of 'wining' or 'wukkin' up', dancing involving pelvic gyrations. The focus is on changes taking place in societies in which there is supposedly the continued dominance of a male patriarchal figure. Can these changes be anything more than a new form of male control of female sexuality and public sexual expression? It seeks to address this question through an analysis of two songs, one a male performed classic competition winning calypso, 'The Black Man feeling to party' and a competition winning calypso sung by a female entitled 'This is what we do'. The former celebrates heterosexual relationships right from the period of partner dancing courtship, through marriage, child rearing and, with child rearing achieved, a return to partner dancing. The latter exalts and justifies the behaviour of women 'wining' alone or on each other. The paper concludes that women are asserting ownership of their own sexuality through auto-sexual dance expression in public. Things have indeed changed. © 2011 Springer Science+Business Media, LLC.","Auto-sexuality; Calypso; Caribbean; Gender; Sexuality; Soca; Wining",,"Devonish, H.; Department of Language, Linguistics and Philosophy, The University of the West Indies, Mona Campus, Kingston 7, Jamaica; email: hubert.devonish@uwimona.edu.jm",,,10955143,,,,"English","Sex. Cult.",Article,,Scopus,2-s2.0-80955163639
"Cowell N.M., Saunders T.S.","Exploring Heteronormativity in the Public Discourse of Jamaican Legislators",2011,"Sexuality and Culture","15","4",,"315","331",,5,10.1007/s12119-011-9105-2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80955163707&doi=10.1007%2fs12119-011-9105-2&partnerID=40&md5=52ca76c8189734d3e1fea32ec87120a8","Department of Management Studies, The University of the West Indies, Mona, Jamaica; Department of Government, The University of the West Indies, Mona, Jamaica","Cowell, N.M., Department of Management Studies, The University of the West Indies, Mona, Jamaica; Saunders, T.S., Department of Government, The University of the West Indies, Mona, Jamaica","In Jamaica the public discourse on homosexuality is voluminous, however little or no empirical research or suitably detached policy-oriented discussion is in evidence. This multidisciplinary qualitative paper uses the content analysis of publicly available information to explore the posture of key public-policy actors on homosexuals and homosexuality. The observable implications of the findings for society and the rights of homosexuals are articulated. The paper concludes that this discourse evinces a settled heteronormative value system, reflecting a consensus on either side of the political divide and applauded by popular culture and popular opinion. At a time when most of the western world is embracing sexual diversity, these conclusions carry profound implications for legal reform, employment relations, social justice and public policy in Jamaica. © 2011 Springer Science+Business Media, LLC.","Employment relations; Heteronormativity; Homosexuality; Human rights; Jamaica; Public policy",,"Cowell, N. M.; Department of Management Studies, The University of the West Indies, Mona, Jamaica; email: noel.cowell@uwimona.edu.jm",,,10955143,,,,"English","Sex. Cult.",Article,,Scopus,2-s2.0-80955163707
"Charles C.A.D.","Skin Bleaching and the Prestige Complexion of Sexual Attraction",2011,"Sexuality and Culture","15","4",,"375","390",,6,10.1007/s12119-011-9107-0,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80955163717&doi=10.1007%2fs12119-011-9107-0&partnerID=40&md5=3006a3ed9e2ddd600e524d053692bd72","King Graduate School, Monroe College, 2373 Jerome Avenue, Bronx, NY 10468, United States","Charles, C.A.D., King Graduate School, Monroe College, 2373 Jerome Avenue, Bronx, NY 10468, United States","This article focuses on the sexual attraction motive for skin bleaching in Jamaica. Some captive Africans on plantations in Jamaica altered their complexion. These Africans modeled the British in the colony who bleached their skin to protect the ""superior,"" ""sexy,"" and ideal white skin from the ""impurities"" of interracial sex and the tropical climate. The beauty and sexual attraction accorded to light skin was also evident in skin bleaching newspaper ads in the 1950s. The ads told women that acquiring light complexion through skin bleaching would make them sexually attractive to men. The persistence of colorism and its most blatant expression-skin bleaching-is also evident in contemporary Jamaica as expressed in some dancehall songs which praise skin bleachers, and the explanatory narratives of skin bleachers that bleaching makes them pretty and sexually attractive to potential spouses. Similar themes are reflected in the criticism that the browning Dancehall Queen Carlene was deemed sexually attractive and choreographically talented only because of her brown physicality. Some spouses request that their partner acquire the bleached physicality because they find it sexually attractive similar to many male clients in ""massage parlors"" who only request female sex workers who bleach their skin. © 2011 Springer Science+Business Media, LLC.","Colorism; Complexion; Jamaica; Sexual attraction; Skin bleaching",,"Charles, C. A. D.; King Graduate School, Monroe College, 2373 Jerome Avenue, Bronx, NY 10468, United States; email: ccharles@gc.cuny.edu",,,10955143,,,,"English","Sex. Cult.",Article,,Scopus,2-s2.0-80955163717
"Fulda J.S.","Sting Operations Revisited More Generally: Seeing the Forest and the Trees",2011,"Sexuality and Culture","15","4",,"395","398",,,10.1007/s12119-011-9110-5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80955144226&doi=10.1007%2fs12119-011-9110-5&partnerID=40&md5=8e395ec3048cdce6135ad5f9a26dfea2","701 West 177th Street, #21, New York, NY 10033-6906, United States","Fulda, J.S., 701 West 177th Street, #21, New York, NY 10033-6906, United States",[No abstract available],,,"Fulda, J. S.701 West 177th Street, #21, New York, NY 10033-6906, United States; email: jsf573@netscape.net",,,10955143,,,,"English","Sex. Cult.",Article,,Scopus,2-s2.0-80955144226
"Perkins A.K.","Carne Vale (Goodbye to Flesh?): Caribbean Carnival, Notions of the Flesh and Christian Ambivalence about the Body",2011,"Sexuality and Culture","15","4",,"361","374",,2,10.1007/s12119-011-9106-1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80955144225&doi=10.1007%2fs12119-011-9106-1&partnerID=40&md5=f2d27d6b36616533f3d48c86ef7f8193","University of the West Indies, Mona, Jamaica; St. Michael's Theological College, Kingston, Jamaica","Perkins, A.K., University of the West Indies, Mona, Jamaica, St. Michael's Theological College, Kingston, Jamaica","This paper interrogates the popular notions of sexuality that lay behind the women's bodily displays during Trinidad Carnival, the iconic Carnival experience in the region, and contrasts these to some Christian notions of the body and sexuality, which see the body ('the flesh') and sexuality, as problematic even sinful, as is captured in the word ""carnal""/""fleshly"". Carne Vale, ""goodbye to flesh"", plays on the Christian roots of Carnival, the religious festival before the solemnity of Lent when meat is given up. It hints at Christian notions of body which devalue physical being and oftentimes view it as the site of sinfulness and temptation. It argues that Caribbean women have subverted and continue to subvert such negative valuations by engaging in carnivalesque masquerade that revalues bodies, especially colonised female bodies. © 2011 Springer Science+Business Media, LLC.","African-derived religion; Body; Caribbean; Carnival; Christianity; Incarnation; Mariology; Sexuality; Trinidad; Women",,"Perkins, A. K.; University of the West Indies, Mona, Jamaica; email: Anna.perkins@uwimona.edu.jm",,,10955143,,,,"English","Sex. Cult.",Article,,Scopus,2-s2.0-80955144225
"Carpenter K., Walters G.","A So Di Ting Set: Conceptions of Male and Female in Jamaica and Barbados",2011,"Sexuality and Culture","15","4",,"345","360",,2,10.1007/s12119-011-9109-y,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-81055156157&doi=10.1007%2fs12119-011-9109-y&partnerID=40&md5=f306fceba9b2f618b24cf24be31de452","Department of Language, Linguistics and Philosophy, University of the West Indies, Mona, Kingston 7, Jamaica","Carpenter, K., Department of Language, Linguistics and Philosophy, University of the West Indies, Mona, Kingston 7, Jamaica; Walters, G., Department of Language, Linguistics and Philosophy, University of the West Indies, Mona, Kingston 7, Jamaica","In 1997, two hundred and twenty-five (225) Jamaican adults were asked to give their opinions of the prevailing Jamaican male and female stereotypes. Again in 2009 a further one hundred and twenty-four (124) Jamaican adults were interviewed to determine their perceptions of the current gender stereotypes. The same was done in Barbados as a means of comparing the stereotypes of two English speaking Caribbean cultures with differing degrees of exposure to similar cultural influences. Equal numbers of male and female respondents were included in both studies. A 100-adjective list of male and female attributes was compiled using a 300-item list originally created by Cattell in 1943 and subsequently used and revised by various authors. The data were analysed using SPSS to arrive at the frequencies for each adjective. Responses of 65% or more were considered to be stereotypical of males and females within each culture. The results show that overall Jamaican men were seen as: coarse, reckless, aggressive, lazy, tough, arrogant, stern, disorderly, robust, rigid, autocratic, courageous, and hard-headed, Jamaican women were seen as: complaining, fussy, sexy, emotional, worrying, affectionate, sensitive, soft hearted and sophisticated. Barbadian men and women had overall lower stereotype scores than did Jamaicans. Barbadian men differed from Jamaican men in that they were seen as: reckless; disorderly; robust and tough man who is also show-off; arrogant; aggressive; hard-headed; courageous, adventurous; lazy; inventive and rigid, while Barbadian women were seen as: emotional; fussy; affectionate; complaining, sophisticated; sensitive; worrying; warm; fault-finding; sexy; touchy; sentimental and gentle. The popular music from both countries is used as a lens for understanding the cultures within which the respondents develop their gender stereotypes. The stereotype data is then compared with the music that is popular during the 10 years from the first study in Jamaica to the second pair of studies in Jamaica and Barbados. © 2011 Springer Science+Business Media, LLC.","Adjectives; Adults; Barbados; Children; Jamaica; Sex role; Stereotype",,"Carpenter, K.; Department of Language, Linguistics and Philosophy, University of the West Indies, Mona, Kingston 7, Jamaica; email: karen.carpenter@uwimona.edu.jm",,,10955143,,,,"English","Sex. Cult.",Article,,Scopus,2-s2.0-81055156157
"Eisenman R.","My Perceptions of Biased Sexual Harassment Proceedings, or How I Almost Got Punched By a University Administrator",2011,"Sexuality and Culture","15","4",,"391","394",,,10.1007/s12119-011-9101-6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80955135094&doi=10.1007%2fs12119-011-9101-6&partnerID=40&md5=347bb0a0efba32560bfc9ec61a294e68","Department of Psychology, University of Texas-Pan American, Edinburg, TX 78539-2999, United States","Eisenman, R., Department of Psychology, University of Texas-Pan American, Edinburg, TX 78539-2999, United States",[No abstract available],,,"Eisenman, R.; Department of Psychology, University of Texas-Pan American, Edinburg, TX 78539-2999, United States; email: eisenman@utpa.edu",,,10955143,,,,"English","Sex. Cult.",Article,,Scopus,2-s2.0-80955135094
"Mosconi N., Paoletti M.","Le care: Projet égalitaire ou cache-misère?",2011,"Travail, Genre et Societe","26","2",,"173","177",,,10.3917/tgs.026.0173,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856329183&doi=10.3917%2ftgs.026.0173&partnerID=40&md5=244af1d52d8ad9d22dfca01a4d7c52a3",,"Mosconi, N.; Paoletti, M.",[No abstract available],,,"Mosconi, N.",,,12946303,,,,"French","Trav. Genre Soc.",Article,,Scopus,2-s2.0-84856329183
"Paperman P., Molinier P.","L'éthique du care comme pensée de l'égalité",2011,"Travail, Genre et Societe","26","2",,"189","193",,,10.3917/tgs.026.0189,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856362184&doi=10.3917%2ftgs.026.0189&partnerID=40&md5=cb6162cfaf18ecf0befaa69c434b584c",,"Paperman, P.; Molinier, P.",[No abstract available],,,"Paperman, P.",,,12946303,,,,"French","Trav. Genre Soc.",Article,,Scopus,2-s2.0-84856362184
"Donni O., Ponthieux S.","Approches économiques du ménage: Du modèle unitaire aux décisions collectives",2011,"Travail, Genre et Societe","26","2",,"67","83",,1,10.3917/tgs.026.0067,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856342322&doi=10.3917%2ftgs.026.0067&partnerID=40&md5=5eb8f402b2fe29ed34537f0806e28fe4",,"Donni, O.; Ponthieux, S.",[No abstract available],,,"Donni, O.",,,12946303,,,,"French","Trav. Genre Soc.",Article,,Scopus,2-s2.0-84856342322
"Thivend M.","Les filles dans les écoles supérieures de commerce en france pendant l'entre-deux-guerres",2011,"Travail, Genre et Societe","26","2",,"129","146",,3,10.3917/tgs.026.0129,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856339083&doi=10.3917%2ftgs.026.0129&partnerID=40&md5=4cb5764445111b4574a31737f07e58de",,"Thivend, M.",[No abstract available],,,"Thivend, M.",,,12946303,,,,"French","Trav. Genre Soc.",Article,,Scopus,2-s2.0-84856339083
"Meulders D., O'Dorchai S.","Lorsque seul le ménage compte: Variations autour de la pauvreté des ménages et des individus en Europe",2011,"Travail, Genre et Societe","26","2",,"85","104",,1,10.3917/tgs.026.0085,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856341498&doi=10.3917%2ftgs.026.0085&partnerID=40&md5=df2beac5aeb9b11b66f7fa92eb1d4610",,"Meulders, D.; O'Dorchai, S.",[No abstract available],,,"Meulders, D.",,,12946303,,,,"French","Trav. Genre Soc.",Article,,Scopus,2-s2.0-84856341498
"Cresson G.","Le care: Soin à autrui et objet de controverses",2011,"Travail, Genre et Societe","26","2",,"195","198",,3,10.3917/tgs.026.0195,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856357998&doi=10.3917%2ftgs.026.0195&partnerID=40&md5=0c802a67f61d9b679fa303d5fe9e212c",,"Cresson, G.",[No abstract available],,,"Cresson, G.",,,12946303,,,,"French","Trav. Genre Soc.",Article,,Scopus,2-s2.0-84856357998
"Toulemon L.","Individus, familles, ménages, logements: Les compter, les décrire",2011,"Travail, Genre et Societe","26","2",,"47","66",,4,10.3917/tgs.026.0047,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856316995&doi=10.3917%2ftgs.026.0047&partnerID=40&md5=ae14b6e2fafbc4aef13756a2bd2a1215",,"Toulemon, L.",[No abstract available],,,"Toulemon, L.",,,12946303,,,,"French","Trav. Genre Soc.",Article,,Scopus,2-s2.0-84856316995
"Amossé T., De Peretti G.","Hommes et femmes en ménage statistique: Une valse à trois temps",2011,"Travail, Genre et Societe","26","2",,"23","46",,3,10.3917/tgs.026.0023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856326545&doi=10.3917%2ftgs.026.0023&partnerID=40&md5=28a7d9fe9d0c144e64763524cef2f1ec",,"Amossé, T.; De Peretti, G.",[No abstract available],,,"Amossé, T.",,,12946303,,,,"French","Trav. Genre Soc.",Article,,Scopus,2-s2.0-84856326545
"Jany-Catrice F., Méda D.","Femmes et richesse: Au-delà du pib",2011,"Travail, Genre et Societe","26","2",,"147","171",,4,10.3917/tgs.026.0147,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856321677&doi=10.3917%2ftgs.026.0147&partnerID=40&md5=b103de5feeea37be3224b39cfa6053db",,"Jany-Catrice, F.; Méda, D.",[No abstract available],,,"Jany-Catrice, F.",,,12946303,,,,"French","Trav. Genre Soc.",Article,,Scopus,2-s2.0-84856321677
"Hirata H.","Questions sur la qualité des emplois du care: France, Brésil, Japon",2011,"Travail, Genre et Societe","26","2",,"199","203",,1,10.3917/tgs.026.0199,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856334541&doi=10.3917%2ftgs.026.0199&partnerID=40&md5=636a52ce7a89e417eeb4bb815f18b0d9",,"Hirata, H.",[No abstract available],,,"Hirata, H.",,,12946303,,,,"French","Trav. Genre Soc.",Article,,Scopus,2-s2.0-84856334541
"Ogien R.","Les tendances moralistes et inégalitaires de l'éthique du care",2011,"Travail, Genre et Societe","26","2",,"179","182",,2,10.3917/tgs.026.0179,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856321283&doi=10.3917%2ftgs.026.0179&partnerID=40&md5=f4e96a3ccd67c96b444c491a483b6a88",,"Ogien, R.",[No abstract available],,,"Ogien, R.",,,12946303,,,,"French","Trav. Genre Soc.",Article,,Scopus,2-s2.0-84856321283
"Kréfa A.","Corps et sexualité chez les romancières tunisiennes: Enjeux de reconnaissance, coûts et effets des « transgressions»",2011,"Travail, Genre et Societe","26","2",,"105","128",,1,10.3917/tgs.026.0105,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856328971&doi=10.3917%2ftgs.026.0105&partnerID=40&md5=e143294d3e8473a097ff7cd47bbcec08",,"Kréfa, A.",[No abstract available],,,"Kréfa, A.",,,12946303,,,,"French","Trav. Genre Soc.",Article,,Scopus,2-s2.0-84856328971
"Laugier S.","Le care comme critique et comme féminisme",2011,"Travail, Genre et Societe","26","2",,"183","188",,1,10.3917/tgs.026.0183,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856347796&doi=10.3917%2ftgs.026.0183&partnerID=40&md5=f39cf9381f808f0556c387b861e9bca6",,"Laugier, S.",[No abstract available],,,"Laugier, S.",,,12946303,,,,"French","Trav. Genre Soc.",Article,,Scopus,2-s2.0-84856347796
"Giraud O., Lucas B.","Le care comme biopouvoir",2011,"Travail, Genre et Societe","26","2",,"205","210",,1,10.3917/tgs.026.0205,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856335198&doi=10.3917%2ftgs.026.0205&partnerID=40&md5=494cbdf90f2f4c5a925d7414f327f172",,"Giraud, O.; Lucas, B.",[No abstract available],,,"Giraud, O.",,,12946303,,,,"French","Trav. Genre Soc.",Article,,Scopus,2-s2.0-84856335198
"Blackford H.","Chasing Amy: Mephistopheles, the Laurence boy, and Louisa may Alcott's punishment of female ambition",2011,"Frontiers","32","3",,"1","40",,,10.1353/fro.2011.0023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858421588&doi=10.1353%2ffro.2011.0023&partnerID=40&md5=5125e6fc401f6ac86cee6082884d39a9",,"Blackford, H.",[No abstract available],,,"Blackford, H.",,,01609009,,,,"English","Frontiers",Article,,Scopus,2-s2.0-84858421588
"Alquizola M., Hirabayashi L.R.","Carlos Bulosan's The Laughter of My Father: Adding feminist and class perspectives to the ""casebook of resistance""",2011,"Frontiers","32","3",,"64","91",,3,10.1353/fro.2011.0025,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858380616&doi=10.1353%2ffro.2011.0025&partnerID=40&md5=d4d1dad337b24c5a96b3cbcd1897779e",,"Alquizola, M.; Hirabayashi, L.R.",[No abstract available],,,"Alquizola, M.",,,01609009,,,,"English","Frontiers",Article,,Scopus,2-s2.0-84858380616
"Godrej F.","Spaces for counter-narratives: The phenomenology of reclamation",2011,"Frontiers","32","3",,"111","133",,7,10.1353/fro.2011.0027,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858402913&doi=10.1353%2ffro.2011.0027&partnerID=40&md5=f57f06b03a51e3b9c351d31f3f2cc941",,"Godrej, F.",[No abstract available],,"article; consciousness; education; ethnology; female; feminism; group dynamics; history; identity; personal autonomy; psychological aspect; self concept; women's health; Consciousness; Feminism; History, 19th Century; History, 20th Century; Identification (Psychology); Personal Autonomy; Personal Space; Self Concept; Women; Women's Health","Godrej, F.",,,01609009,,,22299194,"English","Frontiers",Article,,Scopus,2-s2.0-84858402913
"Littell-Lamb E.","Caught in the crossfire: Women's internationalism and the YWCA child labor campaign in Shanghai, 1921-1925",2011,"Frontiers","32","3",,"134","166",,2,10.1353/fro.2011.0028,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858399907&doi=10.1353%2ffro.2011.0028&partnerID=40&md5=37a1fd0932228d894570e09870407843",,"Littell-Lamb, E.",[No abstract available],,"article; child; child welfare; China; economics; education; ethnology; female; government; history; human; international cooperation; jurisprudence; legal aspect; organization; physiology; policy; psychological aspect; social justice; social problem; social status; socioeconomics; work; Child; Child Welfare; China; Government; History, 20th Century; Humans; Internationality; Jurisprudence; Organizations; Public Policy; Social Conditions; Social Justice; Social Problems; Socioeconomic Factors; Women; Women, Working; Work","Littell-Lamb, E.",,,01609009,,,22299195,"English","Frontiers",Article,,Scopus,2-s2.0-84858399907
"Cordón J.","Speaking up for Catherine Morland: Cixous and the feminist heroine",2011,"Frontiers","32","3",,"41","63",,,10.1353/fro.2011.0024,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858390634&doi=10.1353%2ffro.2011.0024&partnerID=40&md5=ff7450f291dbf7308fe6107796d1d334",,"Cordón, J.",[No abstract available],,,"Cordón, J.",,,01609009,,,,"English","Frontiers",Article,,Scopus,2-s2.0-84858390634
"Lauzen M.M.","Kathryn bigelow: On her own in No-(Wo)man's-land",2011,"Camera Obscura","26","3",,"146","153",,,10.1215/02705346-1415461,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855380840&doi=10.1215%2f02705346-1415461&partnerID=40&md5=98a2b9c183150173341d98819d65d54e","Center for the Study of Women, School of Theatre, Television, San Diego State University, United States","Lauzen, M.M., Center for the Study of Women, School of Theatre, Television, San Diego State University, United States",[No abstract available],,,"Lauzen, M.M.; Center for the Study of Women, School of Theatre, Television, San Diego State UniversityUnited States",,,02705346,,,,"English","Camera Obscura",Article,,Scopus,2-s2.0-84855380840
"Rounthwaite A.","From this body to yours: Porn, affect, and performance art documentation",2011,"Camera Obscura","26","3",,"63","93",,1,10.1215/02705346-1415434,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855394418&doi=10.1215%2f02705346-1415434&partnerID=40&md5=51ba06cfeb221963991a116836bede7a","University of Minnesota, United States","Rounthwaite, A., University of Minnesota, United States",[No abstract available],,,"Rounthwaite, A.; University of MinnesotaUnited States",,,02705346,,,,"English","Camera Obscura",Article,,Scopus,2-s2.0-84855394418
"Brevik-Zender H.","Let them wear manolos: Fashion, walter benjamin, and sofia coppola's marie antoinette",2011,"Camera Obscura","26","3",,"1","33",,1,10.1215/02705346-1415416,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855380569&doi=10.1215%2f02705346-1415416&partnerID=40&md5=83819f90398d2e11f17265eb36ec1a91","University of California, Riverside, United States","Brevik-Zender, H., University of California, Riverside, United States",[No abstract available],,,"Brevik-Zender, H.; University of California, Riverside, United States",,,02705346,,,,"English","Camera Obscura",Article,,Scopus,2-s2.0-84855380569
