Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Carrijo G.G.","Poses, possessions and scenarios: The photographs as narratives of the conquest of europe [Poses, posses e cenários: As fotografias como narrativas da conquista da europa]",2012,"Revista Estudos Feministas","20","2",,"525","538",,,10.1590/S0104-026X2012000200013,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871429929&doi=10.1590%2fS0104-026X2012000200013&partnerID=40&md5=2b7b926b71d70cd05a7bf9b25850f942","Universidade Estadual de Campinas, Brazil","Carrijo, G.G., Universidade Estadual de Campinas, Brazil","The ethnographic narrative experiences articulating images and texts may trigger the sensitivities, knowledge and esthetical and cultural senses existing in the see-what-is-said/saywhat-is-seen relation. The photographs are among the possibilities of exploration of the universe of images. From the images taken from the daily lives of the transvestites, I argue that the posing is a signifying component capable of offering hints for the comprehension/ interpretation of some particular aspects of that universe, not based only on the usual interpretations of the written words. For this article, I gathered fragments of the transvestites' migration to Italy, a project significantly marked by the expectation of working and making a living, but which is also immerse in glamour in a scenario where the images - photographs sent to the families and also made available in the virtual platform - compose narratives of a success inscribed on the body, through jewelry, cars, but also anchored in differentiated geographical spaces, capable of informing about the ""conquest of Europe"". © 2012 by Revista Estudos Feministas.","Gender; Migration; Photo-ethnographic; Photography; Transvestites",,"Carrijo, G.G.; Universidade Estadual de CampinasBrazil",,,0104026X,,,,"Portuguese","Rev. Estud. Feministas",Article,,Scopus,2-s2.0-84871429929
"Meyer D.E., Klein C., Fernandes L.P.","Concepts of Family within Governmental Programs for 'Social Inclusion' in Brazil [Noções de família em políticas de 'inclusão social' no Brasil contemporâneo]",2012,"Revista Estudos Feministas","20","2",,"433","449",,8,10.1590/S0104-026X2012000200005,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871423580&doi=10.1590%2fS0104-026X2012000200005&partnerID=40&md5=2ccd272b82681e0c7b0ca9ba528ca570","Universidade Federal do Rio Grande do Sul, Brazil","Meyer, D.E., Universidade Federal do Rio Grande do Sul, Brazil; Klein, C., Universidade Federal do Rio Grande do Sul, Brazil; Fernandes, L.P., Universidade Federal do Rio Grande do Sul, Brazil","This article has stemmed from three interconnected researches carried out in the metropolitan area of Porto Alegre/RS/Brazil from 2005 to 2010. From the perspective of poststructuralist Cultural and Gender Studies, and considering gender and vulnerability as theoretical and methodological tools, we investigated three governmental programs for ""social inclusion"". The investigation was based on the question: Do the notions of family produced, spread and modified within the programs contribute to the (re)production, reduction or maintenance of the very vulnerability the programs aim at reducing? Based on this analysis, we have argued that those programs operate with a framework that institutes 'the' family as the major target of 'social inclusion' and they focus on certain individuals and social groups, making them responsible for both complex social problems and their solution. © 2012 by Revista Estudos Feministas.","Family; Gender; Public policies for social inclusion; Vulnerability",,"Meyer, D.E.; Universidade Federal do Rio Grande do SulBrazil",,,0104026X,,,,"Portuguese","Rev. Estud. Feministas",Article,,Scopus,2-s2.0-84871423580
"Peres W.S.","Nomad transvestilities: The explosion of binarism and the queering urging [Travestilidades nômades: A explosão dos binarismos e a emergência queering]",2012,"Revista Estudos Feministas","20","2",,"539","547",,5,10.1590/S0104-026X2012000200014,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871426199&doi=10.1590%2fS0104-026X2012000200014&partnerID=40&md5=c0fbccc995b9ac60a210ccd7d6cac233","Universidade Estadual Paulista, Assis, Brazil","Peres, W.S., Universidade Estadual Paulista, Assis, Brazil","By not relying on a single sexual and gender model of reference to be effective, we aim at problematizing the transvestite expression. Such specificity would allow us to talk about 'transvestilization' processes. These processes are constituted through devices in which tough, flexible and leak lines participate in the creation of their bodies, desires and pleasures. This creation transits among normative and singularized discourses effects/consequences. The transvestites transit in the world, challenging the binary heteronormative matrices of the sex/ gender/desire system. Such system fails in relation to modes of subjectivity oriented by subversive power, which create new possible territories of existence. In this perspective, our goal is to demonstrate that transvestites' sexual and gender expression generate new questions about the current identity models. This questioning demonstrates that the coherence and the intelligibility imposed by heteronormative codes need to be urgently reviewed in order to question the sociall order presented by the splitting gender in reproductive sex. It also seems to be important to reframe the generic and subjective sexual expressions in its historical processuality, which explode the binaries, despise the universal and liquefy the absolutism of the idea of truth; an idea rooted in binary systems of settled, closed and universal ahistorical thoughts. © 2012 by Revista Estudos Feministas.","Binarism; Gender; Nomadism; Subjectivity; Transvestilities",,"Peres, W.S.; Universidade Estadual Paulista, Assis, Brazil",,,0104026X,,,,"Portuguese","Rev. Estud. Feministas",Article,,Scopus,2-s2.0-84871426199
"Pocahy F.A.","Through steams & porno videos: Homo/erotic dissident threads in the discoursive tapestry of aging men [Entre vapores & vídeos pornôs: Dissidências homo/eróticas na trama discursiva do envelhecimento masculino]",2012,"Revista Estudos Feministas","20","2",,"357","376",,2,10.1590/S0104-026X2012000200002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871406319&doi=10.1590%2fS0104-026X2012000200002&partnerID=40&md5=1e41402dab949a961cb7bc9aeb547edd","Universidade de Fortaleza, Brazil","Pocahy, F.A., Universidade de Fortaleza, Brazil","This article analyzes forms of regulation of gender and sexuality in their relationship with the normative discourses triggered by the discursive production of the 'aging'. Seeking the games of truth that surround the experience of elderly men with homo erotic practices, this study (the result of a doctoral thesis in Education) tried to understand how the modern discursive practices can build and materialize the aging body as ""abject"". © 2012 by Revista Estudos Feministas.","Age; Body; Gender; Homoeroticism; Performativity",,"Pocahy, F.A.; Universidade de FortalezaBrazil",,,0104026X,,,,"Portuguese","Rev. Estud. Feministas",Article,,Scopus,2-s2.0-84871406319
"Sacchet T.","Political Representation, Group Representation and Quotas Policy: Feminist views: And Debates [Representação política, representação de grupos e política de cotas: Perspectivas e contendas feministas]",2012,"Revista Estudos Feministas","20","2",,"399","431",,,10.1590/S0104-026X2012000200004,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871425161&doi=10.1590%2fS0104-026X2012000200004&partnerID=40&md5=3a5451f82b53cdd29fb4df03ea9c7e97","Universidade de São Paulo, Brazil","Sacchet, T., Universidade de São Paulo, Brazil","This article focus on the debate of political representation, especial group representation, and the policy of quotas with the purpose of highlighting their main and most contentious arguments, exploring their inconsistencies, problematizing and establishing a dialogue between them. It will be considered to what extent the argument for the inclusion of non-hegemonic group members in the political decision making process, through means such as quotas, may be justified from a normative standpoint. Given the contentious character of the concept of political representation and of the notion of group identity and interest, to what extent could this demand be justified? This discussion will be carried out through a critical analysis on the meaning of political representation, the notion of group rights, interests, identities and perspectives, and the main arguments for and against quotas. The article will be centered on the debate about the political representation of women, establishing thus a close dialogue with and between feminist perspectives. © 2012 by Revista Estudos Feministas.","Democracy; Gender; Group representation; Political representation; Quotas; Women",,"Sacchet, T.; Universidade de São PauloBrazil",,,0104026X,,,,"Portuguese","Rev. Estud. Feministas",Article,,Scopus,2-s2.0-84871425161
"Abu-Lughod L.","Do muslim women really need to be saved? Anthropologic considerations on the cultural relativism and its others [As mulheres muçulmanas precisam realmente de salvação? Reflexões antropológicas sobre o relativismo cultural e seus Outros]",2012,"Revista Estudos Feministas","20","2",,"451","470",,,10.1590/S0104-026X2012000200006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871407738&doi=10.1590%2fS0104-026X2012000200006&partnerID=40&md5=a2b6f7e10a56f5c90508eacd3e15a550","Universidade de Columbia, United States","Abu-Lughod, L., Universidade de Columbia, United States","This article explores the ethics of the current ""War on Terrorism"", asking whether anthropology, the discipline devoted to understanding and dealing with cultural difference, can provide us with critical purchase on the justifications made for American intervention in Afghanistan in terms of liberating, or saving, Afghan women. I look first at the dangers of reifying culture, apparent in the tendencies to plaster neat cultural icons like the Muslim woman over messy historical and political dynamics. Then, calling attention to the resonances of contemporary discourses on equality, freedom, and rights with earlier colonial and missionary rhetoric on Muslim women, I argue that we need to develop, instead, a serious appreciation of differences among women in the world - as products of different histories, expressions of different circumstances, and manifestations of differently structured desires. Further, I argue that rather than seeking to ""save"" others (with the superiority it implies and the violences it would entail) we might better think in terms of (1) working with them in situations that we recognize as always subject to historical transformation and (2) considering our own larger responsibilities to address the forms of global injustice that are powerful shapers of the worlds in which they find themselves. I develop many of these arguments about the limits of ""cultural relativism"" through a consideration of the burqa and the many meanings of veiling in the Muslim world. © 2012 by Revista Estudos Feministas.","Afghanistan war; Colonialism; Cultural relativism; Freedom; Global injustice; Muslim women",,"Abu-Lughod, L.; Universidade de ColumbiaUnited States",,,0104026X,,,,"Portuguese","Rev. Estud. Feministas",Article,,Scopus,2-s2.0-84871407738
"Teixeira F.D.B.","Stories without a ""once upon a time"": The (Un)certainties of Transsexuality [Histórias que não têm era uma vez: As (in)certezas da transexualidade]",2012,"Revista Estudos Feministas","20","2",,"501","512",,1,10.1590/S0104-026X2012000200011,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871463819&doi=10.1590%2fS0104-026X2012000200011&partnerID=40&md5=9718856385ef1dcdfc01052a3a9ed1ca","Universidade Federal de Uberlândia, Brazil","Teixeira, F.D.B., Universidade Federal de Uberlândia, Brazil","From fragments of life stories of (transsexual) people, I try to explain the diversity of their livings, unique experiences, ways of making sense of the process of breaking the gender norms and sexuality. I analyze the inadequacy of medical-legal discourse, anchored in an essencialized truth on the sexualized body, to capture the possibilities of experiences in transsexuality. I argue that the destabilizing potential of transsexuality lies in withdrawing from the reductionist view, which considerss transsexuals as misguided people trapped in a body whose intelligibility would depend solely upon reassignment surgery. © 2012 by Revista Estudos Feministas.","Gender; Reassignment; Sexuality; Transsexuality",,"Teixeira, F.D.B.; Universidade Federal de UberlândiaBrazil",,,0104026X,,,,"Portuguese","Rev. Estud. Feministas",Article,,Scopus,2-s2.0-84871463819
"Huffaker S.","Gendered limitations on women property owners: Three women of early modern cairo",2012,"Hawwa","10","3",,"127","150",,1,10.1163/15692086-12341234,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870997595&doi=10.1163%2f15692086-12341234&partnerID=40&md5=ead39d5c29dd659a60883c1cd347d8c4","University of Windsor, Canada","Huffaker, S., University of Windsor, Canada","Women's rights to be independent property owners in the pre-modern Islamic world can be overemphasized. This article explores the legal frameworks and social and familial customs that limited women's ability to act as autonomous property owners in late Mamluk and early Ottoman Egypt. Three case studies of early modern women of different socio-economic status demonstrate how these limitations come into focus only when women's ownership of property is tracked over the long term. These case studies and supporting material are drawn from sales and waqf endowment documents held at the Egyptian National Archives and the Archives of the Ministry of Religious Endowments. © 2012 Koninklijke Brill NV, Leiden, The Netherlands.","early modern history; family history; Mamluk Egypt; Ottoman Egypt; property; urban history; women",,"Huffaker, S.; University of WindsorCanada",,,15692078,,,,"English","Hawwa",Article,,Scopus,2-s2.0-84870997595
"Voorhoeve M.","Judicial practice at the court of first instance tunis: The case of divorce for harm on the grounds of domestic violence",2012,"Hawwa","10","3",,"151","178",,,10.1163/15692086-12341235,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870999105&doi=10.1163%2f15692086-12341235&partnerID=40&md5=35575878742215f40962e990f5a324a1","Harvard University, United States","Voorhoeve, M., Harvard University, United States","Tunisian personal status law is internationally known for its ""progressive"" character. Nevertheless, it is argued in Tunisian doctrine that judicial practice is characterised by ""conservatism,"" and that judges apply sharia and ""custom"" instead of or at least together with legislation. This article examines the practices at the Court of First Instance Tunis in divorce cases where the wife accuses her husband of domestic violence. It is demonstrated that strict evidence requirements applied by judges prevent most women from obtaining divorce for harm (darar), a type of divorce that has large financial advantages for the wife. However, the material does not indicate that judges simply apply sharia or ""custom"": judges argue that strict evidence requirements are necessary in the light of their experience with numerous false accusations. Moreover, judges do take accusations of domestic violence into consideration in other types of divorce. © 2012 Koninklijke Brill NV, Leiden, The Netherlands.","divorce; domestic violence; judicial practices; personal status law; Tunisia",,"Voorhoeve, M.; Harvard UniversityUnited States; email: m.voorhoeve@uva.nl",,,15692078,,,,"English","Hawwa",Article,,Scopus,2-s2.0-84870999105
"Ali S.T.","Feminism in Islam: A critique of polygamy in mariama ba's epistolary novel so long a letter",2012,"Hawwa","10","3",,"179","199",,,10.1163/15692086-12341236,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871010158&doi=10.1163%2f15692086-12341236&partnerID=40&md5=af7bc15ca6b5a565bb8ea2cefc240ea2","Arizona State University, United States","Ali, S.T., Arizona State University, United States","This paper calls for an understanding of feminism in Islam as a unique approach to feminism with potential contributions to world feminism. The paper analyzes Mariama Ba's epistolary novel So Long A Letter within the context of a feminist approach in Islam. This paper's primary focus is Ba's critique of polygamy and her celebration of female bonding in the face of male oppression. Ba explores her themes through an epistolary exchange between two intimate friends who both suffered the abuse of their polygamous husbands and highlights the contrasting reactions of the two women in regard to the mistreatment by their husbands. Within a distorted misinterpretation of religion, the analysis reflects on how Islamic teachings are exploited by some Muslim men in order to gratify and justify their base desires under the guise of a transcendent sanction. © 2012 Koninklijke Brill NV, Leiden, The Netherlands.","African Feminism; African Women; Feminism in Islam; Muslim Women; Senegalese Women",,"Ali, S.T.; Arizona State UniversityUnited States; email: Souad.Ali@asu.edu",,,15692078,,,,"English","Hawwa",Article,,Scopus,2-s2.0-84871010158
"Hamdan A.","The role of authentic Islam: The way forward for women in Saudi Arabia",2012,"Hawwa","10","3",,"200","220",,1,10.1163/15692086-12341237,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871023680&doi=10.1163%2f15692086-12341237&partnerID=40&md5=1f655588b4fa67d3e0118b321028aceb","University of Western Ontario Alumni, Canada","Hamdan, A., University of Western Ontario Alumni, Canada","This paper explores the main reasons for which progressive Saudis can be optimistic that women will eventually achieve their rightful place in society in general and in the employment sector in particular. A critical analysis is performed of the social, cultural, and religious background to gender inequality as well as of the current state of women's education and employment. The evidence considered of the everlasting gender discourses in Saudi Arabia includes examples from the girls' home economics textbook for Grades 7 and 8. This paper confirms that Saudi society is witnessing a growing acknowledgment of the undeniable Scriptural basis for women's participation in all aspects of public life and an accompanying dilution of the influence of the some conservative Ulama as enforcers of a narrow and literal interpretation of Islam. This paper also confirms that important institutional and policy changes are underway that are creating new educational and employment opportunities for women. The result is that the deeply entrenched gender issues that has for so long characterized the Saudi education system and society as a whole is being challenged by progressive Islamic principles and by a variety of institutional reforms, among other factors. © 2012 Koninklijke Brill NV, Leiden, The Netherlands.","Islam; Muslim women; progress; Saudi Arabia; women; women's rights",,"Hamdan, A.; University of Western Ontario AlumniCanada",,,15692078,,,,"English","Hawwa",Article,,Scopus,2-s2.0-84871023680
"Youmans G.","Performing essentialism: Reassessing Barbara Hammer's films of the 1970s",2012,"Camera Obscura","27","3",,"101","135",,3,10.1215/02705346-1727473,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870787192&doi=10.1215%2f02705346-1727473&partnerID=40&md5=f88740b313c5b311b7d1bdff7140f1ad","Beatrice Bain Research Group, University of California, Berkeley, United States","Youmans, G., Beatrice Bain Research Group, University of California, Berkeley, United States",[No abstract available],,,"Youmans, G.; Beatrice Bain Research Group, University of California, Berkeley, United States",,,02705346,,,,"English","Camera Obscura",Article,,Scopus,2-s2.0-84870787192
"Hankin K.","LUNAFEST on campus",2012,"Camera Obscura","27","3",,"159","167",,1,10.1215/02705346-1727500,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870797748&doi=10.1215%2f02705346-1727500&partnerID=40&md5=557c5424276b7202941e42bd86cc2553","Johnston Center for Integrative Studies, University of Redlands, United States","Hankin, K., Johnston Center for Integrative Studies, University of Redlands, United States",[No abstract available],,,"Hankin, K.; Johnston Center for Integrative Studies, University of RedlandsUnited States",,,02705346,,,,"English","Camera Obscura",Article,,Scopus,2-s2.0-84870797748
